variable,2004-2007,2007-2013,2013-2020
-log2(p) LLR,60.46,49.68,49.86
AIC Partial,8256.58,8677.78,6303.95
C-index,0.650,0.695,0.626
Events,669,688,508
Log Likelihood,-4121.29,-4329.89,-3141.97
Observations,33966,70135,53957
Subjects,944,1001,829
camel_npl_ratio,0.018*** (0.004),0.015*** (0.003),0.004* (0.002)
camel_roa,,,-0.093*** (0.011)
camel_tier1_capital_ratio,0.019*** (0.004),0.009* (0.004),0.016*** (0.004)
crisis_2004,-0.333 (0.253),,
crisis_2008,,0.030 (0.093),
crisis_2014,,,-0.021 (0.093)
family_connection_ratio,-0.018*** (0.004),-0.016*** (0.003),-0.011*** (0.003)
family_ownership_pct,-0.006* (0.002),-0.005** (0.002),-0.003+ (0.002)
foreign_ownership_total_pct,-0.002 (0.009),-0.001 (0.008),-0.000 (0.012)
rw_out_degree_4q_lag,,-0.043*** (0.011),-0.023* (0.010)
rw_page_rank_4q_lag,,0.010** (0.004),0.002 (0.005)
state_ownership_pct,-0.010* (0.005),-0.006 (0.004),-0.005 (0.004)
