variable,2004-2007,2007-2013,2013-2020
-log2(p) LLR,54.97,44.92,47.67
AIC Partial,8262.29,8683.50,6305.90
C-index,0.651,0.696,0.621
Events,669,688,508
Log Likelihood,-4121.15,-4329.75,-3139.95
Observations,33966,70135,53957
Subjects,944,1001,829
camel_npl_ratio,0.018*** (0.004),0.015*** (0.003),0.004* (0.002)
camel_roa,,,-0.094*** (0.011)
camel_tier1_capital_ratio,0.019*** (0.004),0.009* (0.004),0.016*** (0.004)
crisis_2004,-0.326 (0.253),,
crisis_2008,,0.031 (0.093),
crisis_2014,,,-0.020 (0.093)
family_connection_ratio,-0.018*** (0.004),-0.016*** (0.004),-0.011*** (0.003)
family_connection_ratio_x_crisis_2004,-0.014 (0.027),,
family_connection_ratio_x_crisis_2008,,-0.003 (0.008),
family_connection_ratio_x_crisis_2014,,,-0.009 (0.006)
family_ownership_pct,-0.006* (0.002),-0.005** (0.002),-0.003+ (0.002)
foreign_ownership_total_pct,-0.002 (0.009),-0.000 (0.008),-0.007 (0.013)
foreign_ownership_total_pct_x_crisis_2004,-0.006 (0.062),,
foreign_ownership_total_pct_x_crisis_2008,,-0.007 (0.023),
foreign_ownership_total_pct_x_crisis_2014,,,0.021 (0.017)
rw_out_degree_4q_lag,,-0.043*** (0.011),-0.023* (0.011)
rw_page_rank_4q_lag,,0.010** (0.004),0.002 (0.005)
state_ownership_pct,-0.010* (0.005),-0.006 (0.004),-0.005 (0.004)
state_ownership_pct_x_crisis_2004,-0.002 (0.033),,
state_ownership_pct_x_crisis_2008,,-0.003 (0.012),
state_ownership_pct_x_crisis_2014,,,-0.006 (0.009)
