variable,2004-2007,2007-2013,2013-2020
-log2(p) LLR,61.38,51.43,51.58
AIC Partial,8256.31,8675.88,6302.00
C-index,0.654,0.679,0.639
Events,669,688,508
Log Likelihood,-4122.15,-4329.94,-3142.00
Observations,33966,70135,53957
Subjects,944,1001,829
camel_npl_ratio,1.019*** (0.004),1.015*** (0.003),1.004* (0.002)
camel_roa,,,0.911*** (0.010)
camel_tier1_capital_ratio,1.019*** (0.004),1.009* (0.004),1.016*** (0.004)
family_connection_ratio,0.982*** (0.004),0.984*** (0.003),0.989*** (0.003)
family_ownership_pct,0.994* (0.002),0.995** (0.002),0.997+ (0.002)
foreign_ownership_total_pct,0.998 (0.009),0.999 (0.008),1.000 (0.012)
rw_out_degree_4q_lag,,0.958*** (0.011),0.977* (0.010)
rw_page_rank_4q_lag,,1.010** (0.004),1.002 (0.005)
state_ownership_pct,0.990* (0.005),0.994 (0.004),0.995 (0.004)
