variable,2004-2007,2007-2013,2013-2020
-log2(p) LLR,58.48,48.02,49.15
AIC Partial,8258.57,8679.69,6304.50
C-index,0.650,0.696,0.628
Events,669,688,508
Log Likelihood,-4121.29,-4329.84,-3141.25
Observations,33966,70135,53957
Subjects,944,1001,829
camel_npl_ratio,1.019*** (0.004),1.015*** (0.003),1.004* (0.002)
camel_roa,,,0.911*** (0.010)
camel_tier1_capital_ratio,1.019*** (0.004),1.009* (0.004),1.016*** (0.004)
crisis_2004,0.717 (0.181),,
crisis_2008,,1.031 (0.096),
crisis_2014,,,0.979 (0.091)
family_connection_ratio,0.982*** (0.004),0.984*** (0.003),0.989*** (0.003)
family_ownership_pct,0.994* (0.002),0.995** (0.002),0.997+ (0.002)
foreign_ownership_total_pct,0.998 (0.009),1.000 (0.008),0.993 (0.013)
foreign_ownership_total_pct_x_crisis_2004,0.994 (0.062),,
foreign_ownership_total_pct_x_crisis_2008,,0.993 (0.023),
foreign_ownership_total_pct_x_crisis_2014,,,1.021 (0.017)
rw_out_degree_4q_lag,,0.958*** (0.011),0.977* (0.010)
rw_page_rank_4q_lag,,1.010** (0.004),1.002 (0.005)
state_ownership_pct,0.990* (0.005),0.994 (0.004),0.995 (0.004)
