variable,2004-2007,2007-2013,2013-2020
-log2(p) LLR,54.97,44.92,47.67
AIC Partial,8262.29,8683.50,6305.90
C-index,0.651,0.696,0.621
Events,669,688,508
Log Likelihood,-4121.15,-4329.75,-3139.95
Observations,33966,70135,53957
Subjects,944,1001,829
camel_npl_ratio,1.019*** (0.004),1.015*** (0.003),1.004* (0.002)
camel_roa,,,0.911*** (0.010)
camel_tier1_capital_ratio,1.019*** (0.004),1.009* (0.004),1.016*** (0.004)
crisis_2004,0.722 (0.183),,
crisis_2008,,1.031 (0.096),
crisis_2014,,,0.981 (0.092)
family_connection_ratio,0.982*** (0.004),0.984*** (0.003),0.989*** (0.003)
family_connection_ratio_x_crisis_2004,0.986 (0.027),,
family_connection_ratio_x_crisis_2008,,0.997 (0.008),
family_connection_ratio_x_crisis_2014,,,0.991 (0.006)
family_ownership_pct,0.994* (0.002),0.995** (0.002),0.997+ (0.002)
foreign_ownership_total_pct,0.998 (0.009),1.000 (0.008),0.993 (0.013)
foreign_ownership_total_pct_x_crisis_2004,0.994 (0.062),,
foreign_ownership_total_pct_x_crisis_2008,,0.993 (0.023),
foreign_ownership_total_pct_x_crisis_2014,,,1.021 (0.017)
rw_out_degree_4q_lag,,0.958*** (0.011),0.977* (0.010)
rw_page_rank_4q_lag,,1.010** (0.004),1.002 (0.005)
state_ownership_pct,0.990* (0.005),0.994 (0.004),0.995 (0.004)
state_ownership_pct_x_crisis_2004,0.998 (0.033),,
state_ownership_pct_x_crisis_2008,,0.997 (0.012),
state_ownership_pct_x_crisis_2014,,,0.994 (0.009)
