regn,regn_cbr,is_dead,death_date,closure_type,reason_text,reason_banki,reorg_info
510,510,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
141,141,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
3153,3153,True,,revocation,,отзыв лицензии,
2184,2184,True,,revocation,,отзыв лицензии,
2274,2274,True,,voluntary,Ликвидация по решению учредителей,решение о ликвидации,-1.0
1977,1977,True,,revocation,Решением суда организация признана банкротом,,-1.0
202,202,True,,revocation,,отзыв лицензии,-1.0
3019,3019,True,,revocation,,отзыв лицензии,
135,135,True,,revocation,,отзыв лицензии,
1844,1844,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1585,1585,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
,1202-К,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1725,1725,True,,voluntary,,решение о ликвидации,
72,72,True,,voluntary,,решение о ликвидации,
3191,3191,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1668,1668,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1863,1863,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2451,2451,True,,revocation,,отзыв лицензии,
2277,2277,True,,voluntary,Закрыто налоговой службой из-за отсутствия признаков деятельности,решение о ликвидации,-1.0
2360,2360,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
,3387-К,True,,revocation,Решением суда организация признана банкротом,,-1.0
814,814,True,,voluntary,,решение о ликвидации,
730,730,True,,voluntary,,решение о ликвидации,
195,195,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
818,818,True,,voluntary,,решение о ликвидации,
2962,2962,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2147,2147,True,,revocation,,отзыв лицензии,
1570,1570,True,,revocation,,отзыв лицензии,
1549,1549,True,,revocation,,отзыв лицензии,
1474,1474,True,,revocation,,отзыв лицензии,
1816,1816,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
2416,2416,True,,revocation,,отзыв лицензии,
1827,1827,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
706,706,True,,revocation,,отзыв лицензии,
89,89,True,,revocation,,отзыв лицензии,-1.0
778,778,True,,revocation,,отзыв лицензии,-1.0
3299,3299,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
2791,2791,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1029,1029,True,,voluntary,,решение о ликвидации,
1572,1572,True,,revocation,,отзыв лицензии,
2781,2781,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
621,621,True,,voluntary,,решение о ликвидации,
2095,2095,True,,revocation,Регистрация признана ошибочной по решению ФНС,отзыв лицензии,-1.0
1427,1427,True,,revocation,,отзыв лицензии,
284,284,True,,voluntary,,решение о ликвидации,
1094,1094,True,,revocation,,отзыв лицензии,
274,274,True,,revocation,,отзыв лицензии,-1.0
2978,2978,True,,revocation,,отзыв лицензии,
2431,2431,True,,revocation,,отзыв лицензии,-1.0
294,294,True,,revocation,,отзыв лицензии,
3445,3445,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2449,2449,True,,revocation,,отзыв лицензии,
2092,2092,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
944,944,True,,revocation,,отзыв лицензии,
697,697,True,,revocation,,отзыв лицензии,
3212,3212,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2132,2132,True,,revocation,,отзыв лицензии,
2752,2752,True,,revocation,,отзыв лицензии,-1.0
1675,1675,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
945,945,True,,revocation,,отзыв лицензии,
2061,2061,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1194,1194,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
,3489-Д,True,,voluntary,Ликвидация по решению учредителей,решение о ликвидации,-1.0
2541,2541,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1713,1713,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
3240,3240,True,,revocation,,отзыв лицензии,
1740,1740,True,,revocation,,отзыв лицензии,
1328,1328,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2234,2234,True,,revocation,,отзыв лицензии,
3418,3418,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2502,2502,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1879,1879,True,,revocation,,отзыв лицензии,
549,549,True,,revocation,,отзыв лицензии,
1126,1126,True,,voluntary,,решение о ликвидации,
222,222,True,,voluntary,,решение о ликвидации,
2780,2780,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
175,175,True,,voluntary,,решение о ликвидации,
2329,2329,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
,3472-К,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2062,2062,True,,revocation,,отзыв лицензии,
3362,3362,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
,1618-К,True,,voluntary,Ликвидация по решению учредителей,решение о ликвидации,-1.0
1547,1547,True,,voluntary,,решение о ликвидации,
3088,3088,True,,revocation,,отзыв лицензии,-1.0
1456,1456,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
2757,2757,True,,revocation,,отзыв лицензии,
1887,1887,True,,revocation,,отзыв лицензии,
498,498,True,,voluntary,,решение о ликвидации,
3230,3230,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
806,806,True,,voluntary,,решение о ликвидации,
1878,1878,True,,revocation,,отзыв лицензии,
2022,2022,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
2004,2004,True,,voluntary,,решение о ликвидации,
1602,1602,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
888,888,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1377,1377,True,,revocation,,отзыв лицензии,
2658,2658,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
742,742,True,,reorganisation,Реорганизация путем преобразования,решение о ликвидации,-1.0
280,280,True,,revocation,,отзыв лицензии,
1845,1845,True,,revocation,,отзыв лицензии,
2666,2666,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
1817,1817,True,,revocation,,отзыв лицензии,
2759,2759,True,,revocation,,отзыв лицензии,
2120,2120,True,,revocation,,отзыв лицензии,
758,758,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
2567,2567,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
1742,1742,True,,revocation,,отзыв лицензии,
1722,1722,True,,revocation,,отзыв лицензии,
3162,3162,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
3534,3534,True,,unknown,,,-1.0
2809,2809,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
775,775,True,,voluntary,,решение о ликвидации,
2419,2419,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1794,1794,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2141,2141,True,,revocation,,отзыв лицензии,-1.0
2583,2583,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1984,1984,True,,revocation,,отзыв лицензии,
877,877,True,,revocation,,отзыв лицензии,
1853,1853,True,,voluntary,,решение о ликвидации,
1042,1042,True,,voluntary,,решение о ликвидации,
526,526,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
3114,3114,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1881,1881,True,,revocation,,отзыв лицензии,
1408,1408,True,,revocation,,отзыв лицензии,
564,564,True,,voluntary,Закрыто налоговой службой из-за отсутствия признаков деятельности,решение о ликвидации,-1.0
1085,1085,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,1.0
464,464,True,,revocation,,отзыв лицензии,
993,993,True,,revocation,,отзыв лицензии,
3165,3165,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
1028,1028,True,,voluntary,Решением суда организация признана банкротом,решение о ликвидации,-1.0
3476,3476,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2528,2528,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
859,859,True,,voluntary,,решение о ликвидации,
1702,1702,True,,revocation,,отзыв лицензии,
2988,2988,True,,revocation,,отзыв лицензии,
3345,3345,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
886,886,True,,voluntary,,решение о ликвидации,
726,726,True,,revocation,,отзыв лицензии,
2621,2621,True,,revocation,,отзыв лицензии,
,3497-Д,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1190,1190,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
2508,2508,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1867,1867,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1597,1597,True,,revocation,,отзыв лицензии,
2566,2566,True,,revocation,,отзыв лицензии,
,3323-Р,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2432,2432,True,,revocation,,отзыв лицензии,
591,591,True,,revocation,,отзыв лицензии,
643,643,True,,revocation,,отзыв лицензии,
837,837,True,,voluntary,,решение о ликвидации,
584,584,True,,revocation,,отзыв лицензии,
830,830,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1062,1062,True,,revocation,,отзыв лицензии,
2391,2391,True,,revocation,,отзыв лицензии,
241,241,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1667,1667,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
1453,1453,True,,revocation,,отзыв лицензии,
2709,2709,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1233,1233,True,,revocation,,отзыв лицензии,
1852,1852,True,,revocation,,отзыв лицензии,
414,414,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,1.0
3034,3034,True,,revocation,,отзыв лицензии,
3376,3376,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
315,315,True,,revocation,,отзыв лицензии,
2032,2032,True,,voluntary,,решение о ликвидации,
3442,3442,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
3182,3182,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
3199,3199,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
2971,2971,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
448,448,True,,revocation,,отзыв лицензии,
2452,2452,True,,revocation,,отзыв лицензии,
1123,1123,True,,revocation,,отзыв лицензии,
2701,2701,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1426,1426,True,,revocation,,отзыв лицензии,
2069,2069,True,,revocation,,отзыв лицензии,
2746,2746,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2426,2426,True,,revocation,,отзыв лицензии,-1.0
1986,1986,True,,revocation,,отзыв лицензии,
693,693,True,,voluntary,,решение о ликвидации,
834,834,True,,revocation,,отзыв лицензии,
2263,2263,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2597,2597,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
40,40,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
1813,1813,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2831,2831,True,,revocation,,отзыв лицензии,
981,981,True,,revocation,,отзыв лицензии,
2183,2183,True,,revocation,,отзыв лицензии,
2152,2152,True,,revocation,,отзыв лицензии,-1.0
1321,1321,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1700,1700,True,,revocation,,отзыв лицензии,
2075,2075,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1989,1989,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2193,2193,True,,revocation,,отзыв лицензии,
3358,3358,True,,revocation,,отзыв лицензии,
1258,1258,True,,voluntary,Закрыто налоговой службой из-за отсутствия признаков деятельности,решение о ликвидации,-1.0
1959,1959,True,,revocation,,отзыв лицензии,
773,773,True,,voluntary,,решение о ликвидации,
3302,3302,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1899,1899,True,,revocation,,отзыв лицензии,
2260,2260,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2955,2955,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1963,1963,True,,revocation,,отзыв лицензии,
