variable,Stargazer_Output_HR
family_connection_ratio,0.990*** (0.003)
family_ownership_pct,0.997* (0.002)
state_ownership_pct,0.996 (0.003)
foreign_ownership_total_pct,0.996 (0.009)
rw_page_rank_4q_lag,1.002 (0.006)
rw_out_degree_4q_lag,0.981* (0.009)
camel_roa,0.912*** (0.010)
camel_npl_ratio,1.006*** (0.002)
camel_tier1_capital_ratio,1.015*** (0.004)
crisis_2014,1.000 (0.001)
family_connection_ratio_x_crisis_2014,0.991 (0.006)
state_ownership_pct_x_crisis_2014,0.994 (0.009)
foreign_ownership_total_pct_x_crisis_2014,1.020 (0.015)
Observations,88587
Subjects,930
Events,608
Log Likelihood,-3810.90
AIC Partial,7647.80
-log2(p) LLR,50.46
C-index,0.687
