variable,Stargazer_Output_HR
family_connection_ratio,0.982*** (0.004)
family_ownership_pct,0.994* (0.002)
state_ownership_pct,0.990* (0.005)
foreign_ownership_total_pct,0.998 (0.009)
camel_npl_ratio,1.019*** (0.004)
camel_tier1_capital_ratio,1.019*** (0.004)
crisis_2004,0.722 (0.183)
family_connection_ratio_x_crisis_2004,0.986 (0.027)
state_ownership_pct_x_crisis_2004,0.998 (0.033)
foreign_ownership_total_pct_x_crisis_2004,0.994 (0.062)
Observations,33966
Subjects,944
Events,669
Log Likelihood,-4121.15
AIC Partial,8262.29
-log2(p) LLR,54.97
C-index,0.651
