covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.016276835800557946,0.9838549160881115,0.0035054231242467185,-0.02314733887465539,-0.009406332726460503,0.9771185056257244,0.9906377684361617,0.0,-4.643329841687994,3.428383609286106e-06,18.154040024561265
family_ownership_pct,-0.0050397810447422725,0.9949728973440373,0.0017461108415837015,-0.008462095407261252,-0.0016174666822232936,0.9915736073444068,0.9983838407120268,0.0,-2.886289303473571,0.003898136533293376,8.002999662394744
state_ownership_pct,-0.006343701730876218,0.9936763770645503,0.004136319293674192,-0.014450738575035791,0.0017633351132833536,0.9856531722162496,1.0017648907028516,0.0,-1.5336586178387748,0.1251136593541117,2.9986887897427237
foreign_ownership_total_pct,-0.0006731212867263244,0.9993271052085846,0.00784580065951623,-0.016050608009258737,0.01470436543580609,0.9840775165909977,1.0148130064632197,0.0,-0.08579382983811736,0.9316303114705833,0.10217051513153834
rw_page_rank_4q_lag,0.010215457241306142,1.0102678131526177,0.003772208255182398,0.002822064918963964,0.017608849563648322,1.0028260506926563,1.017764799375935,0.0,2.7080841115470684,0.006767286908959619,7.207206729665857
rw_out_degree_4q_lag,-0.04274256657342265,0.9581580202225941,0.01129276170035964,-0.06487597279212085,-0.020609160354724456,0.937183692446115,0.9796017569625678,0.0,-3.7849524950182407,0.00015373794267988563,12.66723911197916
camel_npl_ratio,0.014937073894000832,1.0150491895131406,0.003216112637316575,0.008633608954636215,0.02124053883336545,1.008670986045387,1.0214677247442132,0.0,4.644449861825693,3.4098384190704207e-06,18.161865192986433
camel_tier1_capital_ratio,0.009194529600585456,1.0092369291361734,0.0038653548485628685,0.0016185733099349595,0.016770485891235955,1.0016198839067183,1.0169118999109972,0.0,2.3787025928561163,0.017373686984186912,5.846952239448247
crisis_2008,0.030704454867023657,1.0311806984102196,0.09332403506540879,-0.15220729275313066,0.213616202487178,0.8588102371497125,1.2381473657124356,0.0,0.32900907944564944,0.7421488253416728,0.43021957104294034
family_connection_ratio_x_crisis_2008,-0.0029017871468511557,0.9971024189680713,0.008372724274810344,-0.01931202517796367,0.01350845088426136,0.9808732573363903,1.0136001022311631,0.0,-0.3465762219808541,0.7289097120749021,0.4561879717052377
