variable,Stargazer_Output_HR
family_connection_ratio,0.989*** (0.003)
family_ownership_pct,0.997+ (0.002)
state_ownership_pct,0.995 (0.004)
foreign_ownership_total_pct,0.993 (0.013)
rw_page_rank_4q_lag,1.002 (0.005)
rw_out_degree_4q_lag,0.977* (0.010)
camel_roa,0.911*** (0.010)
camel_npl_ratio,1.004* (0.002)
camel_tier1_capital_ratio,1.016*** (0.004)
crisis_2014,0.979 (0.091)
foreign_ownership_total_pct_x_crisis_2014,1.021 (0.017)
Observations,53957
Subjects,829
Events,508
Log Likelihood,-3141.25
AIC Partial,6304.50
-log2(p) LLR,49.15
C-index,0.628
