covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.011396251746748458,0.9886684395508801,0.0031711716807931215,-0.017611634029896323,-0.005180869463600591,0.9825425443587745,0.9948325280936149,0.0,-3.59370380852361,0.00032601042082106366,11.582794299060616
family_ownership_pct,-0.003252117874399449,0.9967531645330463,0.0018186248039105558,-0.006816556991455357,0.0003123212426564587,0.9932066230339271,1.0003123700200138,0.0,-1.788229142925181,0.07373904629455666,3.7614274323477566
state_ownership_pct,-0.0049547930802698046,0.9950574616587115,0.004133598986920181,-0.013056498221164614,0.003146912060625004,0.9870283680979,1.00315186878648,0.0,-1.198663222036802,0.23065892419630032,2.1161669835170547
foreign_ownership_total_pct,-0.00018858596891808675,0.9998114318122979,0.011964604348473202,-0.02363877958119688,0.02326160764336071,0.9766384277915022,1.0235342689136555,0.0,-0.01576198956734847,0.9874242725984459,0.018257985430184937
rw_page_rank_4q_lag,0.0021550063071971346,1.0021573300021818,0.005212782602428537,-0.008061859852799773,0.012371872467194043,0.991970549786872,1.0124487206730914,0.0,0.41340805315632345,0.6793076754043508,0.5578629397953951
rw_out_degree_4q_lag,-0.02336410313388395,0.9769067242108241,0.01049571886296468,-0.04393533409715241,-0.002792872170615489,0.9570158417655706,0.9972110242686023,0.0,-2.226060305057027,0.026010142327553745,5.264781896041911
camel_roa,-0.09344291943813447,0.9107900043476534,0.011358995485509428,-0.11570614149028602,-0.07117969738598293,0.8907369354708194,0.9312945258985215,0.0,-8.22633652397686,1.930262193553794e-16,52.20205269161213
camel_npl_ratio,0.004324513402140589,1.004333877603896,0.001918063768569621,0.0005651774956929628,0.008083849308588216,1.0005653372385868,1.0081166118413656,0.0,2.2546244149982337,0.024156913629494646,5.371420047026298
camel_tier1_capital_ratio,0.016121651889742506,1.0162523069001377,0.003795818268213177,0.00868198479218548,0.02356131898729953,1.0087197825294245,1.023841079720002,0.0,4.247213841807954,2.1644535078945177e-05,15.49563766240601
crisis_2014,-0.020342520291341107,0.9798629928635656,0.09342539890077191,-0.20345293737814202,0.16276789679545978,0.8159086022171306,1.1767635274030763,0.0,-0.21774079137673374,0.8276310791942141,0.2729402726020998
state_ownership_pct_x_crisis_2014,-0.0056506134194115034,0.9943653212688809,0.00919751359099912,-0.02367740880508744,0.012376181966264433,0.9766007017356838,1.0124530838293135,0.0,-0.614363149725738,0.538975381094914,0.8917087187248682
