variable,Stargazer_Output
family_connection_ratio,-0.010*** (0.003)
family_ownership_pct,-0.003* (0.001)
state_ownership_pct,-0.004 (0.003)
foreign_ownership_total_pct,-0.002 (0.007)
rw_page_rank_4q_lag,0.004 (0.005)
rw_out_degree_4q_lag,-0.021* (0.009)
camel_roa,-0.086*** (0.011)
camel_npl_ratio,0.010*** (0.002)
camel_tier1_capital_ratio,0.016*** (0.003)
governor_nabiullina,0.002*** (0.001)
crisis_2004,-0.000 (0.003)
crisis_2008,0.001 (0.001)
crisis_2014,0.001 (0.001)
family_connection_ratio_x_governor,-0.006+ (0.003)
family_ownership_pct_x_governor,-0.001 (0.002)
state_ownership_pct_x_governor,-0.004 (0.004)
foreign_ownership_total_pct_x_governor,0.004 (0.013)
Observations,138313
Subjects,1092
Events,770
Log Likelihood,-4825.89
AIC Partial,9685.77
-log2(p) LLR,80.01
C-index,0.627
