variable,Stargazer_Output_HR
family_connection_ratio,0.989*** (0.003)
family_ownership_pct,0.997** (0.001)
state_ownership_pct,0.995 (0.003)
foreign_ownership_total_pct,0.998 (0.007)
rw_page_rank_4q_lag,1.004 (0.005)
rw_out_degree_4q_lag,0.979* (0.009)
camel_roa,0.917*** (0.010)
camel_npl_ratio,1.010*** (0.002)
camel_tier1_capital_ratio,1.016*** (0.003)
crisis_2008,1.001 (0.001)
crisis_2014,1.001 (0.001)
family_connection_ratio_x_crisis_2008,0.997 (0.008)
family_connection_ratio_x_crisis_2014,0.992 (0.006)
Observations,138313
Subjects,1092
Events,770
Log Likelihood,-4832.57
AIC Partial,9691.15
-log2(p) LLR,78.08
C-index,0.698
