variable,Model 5: +State
const,-5.264*** (0.055)
camel_tier1_capital_ratio,1.756** (0.541)
camel_npl_ratio,0.021*** (0.002)
camel_roa,-0.608*** (0.109)
camel_liquid_assets_ratio,-1.375 (0.831)
network_in_degree,-0.000 (0.000)
network_out_degree,-0.267*** (0.056)
network_page_rank,-0.011 (0.006)
family_FOP,-0.005 (0.003)
family_rho_F,-0.712*** (0.209)
foreign_FOP_t,-0.000 (0.000)
foreign_FEC_d,-0.004* (0.002)
state_SOP,-0.018 (0.013)
state_SCP,0.000 (0.000)
Observations,192775
Subjects,1101
Events,774
Log Likelihood,-4820.12
AIC,9668.24
AUC,0.719
Optimal Threshold,0.027
Accuracy,0.993
Precision,0.047
Recall,0.044
F1 Score,0.045
