variable,Stargazer_Output_HR
camel_roa,0.902*** (0.011)
family_rho_F,0.970*** (0.008)
network_out_degree,0.624*** (0.056)
camel_npl_ratio,1.009*** (0.002)
camel_tier1_capital_ratio,1.016** (0.005)
network_page_rank,0.987+ (0.007)
foreign_FEC_d,0.893*** (0.028)
family_FOP,0.997 (0.004)
camel_liquid_assets_ratio,1.010 (0.008)
state_SOP,0.986 (0.011)
state_SCP,1.008 (0.013)
foreign_FOP_t,1.015 (0.015)
Observations,44715
Subjects,796
Events,473
Log Likelihood,-2293.02
AIC Partial,4610.04
-log2(p) LLR,159.70
C-index,0.724
