variable,Stargazer_Output
family_connection_ratio,-0.057* (0.024)
stake_fragmentation_index,-0.082*** (0.024)
group_total_capital,-0.046+ (0.024)
group_sector_count,-0.047* (0.023)
camel_roa,-0.058*** (0.010)
camel_npl_ratio,0.105*** (0.018)
camel_tier1_capital_ratio,0.097*** (0.021)
rw_out_degree_4q_lag,-0.042+ (0.024)
rw_page_rank_4q_lag,0.020 (0.020)
state_ownership_pct,-0.035 (0.022)
foreign_ownership_total_pct,-0.010 (0.022)
Observations,139038
Subjects,1092
Events,770
Log Likelihood,-3465.18
AIC Partial,6952.37
-log2(p) LLR,69.86
C-index,0.747
