covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.05746818266638773,0.9441519303054717,0.023681859703705913,-0.1038837747725817,-0.011052590560193747,0.9013300486236008,0.9890082649089736,0.0,-2.426675243642064,0.015237889129383758,6.0361931264115025
stake_fragmentation_index,-0.08217834142010604,0.9211076723968923,0.023615537116367886,-0.12846394364375596,-0.035892739196456094,0.8794452714387607,0.9647437671253667,0.0,-3.479842148631393,0.0005017092895481252,10.960860728549218
group_total_capital,-0.04633387122085135,0.9547231543881703,0.024237520057264258,-0.09383853760765648,0.0011707951659537807,0.9104297505394893,1.0011714808141725,0.0,-1.911658911942378,0.05591995769603905,4.160492920472994
group_sector_count,-0.046860835928425285,0.9542201815164195,0.02339071416833235,-0.09270579327102746,-0.00101587858582311,0.9114616189945524,0.998984637244139,0.0,-2.0033948340007544,0.04513492552820011,4.469611962800731
camel_roa,-0.05825153610983668,0.9434126152500315,0.009697330778792613,-0.07725795518244195,-0.03924511703723141,0.9256510463224996,0.9615149965517522,0.0,-6.006965982559731,1.8902715656237994e-09,28.978759340050807
camel_npl_ratio,0.10473040056452351,1.1104112037639131,0.0182200483164911,0.06901976206762131,0.14044103906142572,1.0714573831523837,1.1507812264233215,0.0,5.748085775915932,9.02594502376839e-09,26.723274862736798
camel_tier1_capital_ratio,0.09687002558530698,1.101717169270528,0.020850885809594915,0.056003040352743665,0.1377370108178703,1.0576008992115187,1.1476736848185216,0.0,4.645847014361878,3.386839317897624e-06,18.171629026770578
rw_out_degree_4q_lag,-0.04179343074856722,0.9590678740445846,0.024138439244949954,-0.08910390231167735,0.005517040814542906,0.9147505239425536,1.0055322877105708,0.0,-1.7314056772461335,0.08337943476075349,3.58416459779899
rw_page_rank_4q_lag,0.01978332281320539,1.0199803096174231,0.019754096692737304,-0.018933995251681518,0.0585006408780923,0.9812441268770292,1.0602456651825989,0.0,1.001479496679736,0.3165950477479208,1.6592894062012584
state_ownership_pct,-0.03475725247097599,0.9658398430384849,0.022281843334086865,-0.07842886291495013,0.008914357972998145,0.924567828652489,1.0089542091900192,0.0,-1.5598912509093978,0.11878558236632943,3.0735683556414855
foreign_ownership_total_pct,-0.01007405185748286,0.9899765214344683,0.02169338851131545,-0.05259231204229611,0.0324442083273304,0.948766734418296,1.0329762600628876,0.0,-0.46438350800881806,0.6423730037196043,0.6385168312635126
