variable,Stargazer_Output
family_connection_ratio,-0.078*** (0.023)
stake_fragmentation_index,-0.124*** (0.023)
group_total_capital,-0.060* (0.024)
group_sector_count,-0.077*** (0.023)
camel_roa,-0.062*** (0.008)
camel_npl_ratio,0.106*** (0.018)
camel_tier1_capital_ratio,0.101*** (0.021)
rw_out_degree_4q_lag,-0.050* (0.024)
rw_page_rank_4q_lag,0.027 (0.020)
state_ownership_pct,-0.038+ (0.022)
foreign_ownership_total_pct,-0.006 (0.022)
Observations,139038
Subjects,1092
Events,770
Log Likelihood,-4841.82
AIC Partial,9705.63
-log2(p) LLR,116.53
C-index,0.754
