variable,Stargazer_Output
family_connection_ratio,-0.070** (0.024)
stake_fragmentation_index,-0.114*** (0.023)
group_total_paid_tax,-0.065** (0.024)
group_total_vehicles,-0.065** (0.024)
group_total_receipts,-0.017 (0.024)
group_sector_count,-0.068** (0.023)
camel_roa,-0.061*** (0.008)
camel_npl_ratio,0.105*** (0.018)
camel_tier1_capital_ratio,0.101*** (0.021)
rw_out_degree_4q_lag,-0.041+ (0.024)
state_ownership_pct,-0.039+ (0.022)
foreign_ownership_total_pct,-0.007 (0.022)
Observations,138896
Subjects,1092
Events,770
Log Likelihood,-4837.16
AIC Partial,9698.32
-log2(p) LLR,120.80
C-index,0.761
