covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
family_connection_ratio,-0.06978823806046733,0.9325912863368591,0.023635719275901076,-0.11611339658993255,-0.023463079531002094,0.8903742521687302,0.9768100382878322,0.0,-2.952659796210359,0.0031504896189618213,8.310208228761724
stake_fragmentation_index,-0.11366783183796304,0.8925543847970749,0.02293985858598252,-0.15862912847693073,-0.06870653519899537,0.8533127696981927,0.9336006188003636,0.0,-4.955036292482647,7.231678985958007e-07,20.399166026232404
group_total_paid_tax,-0.06468095241538532,0.9373664801859738,0.023820055152043842,-0.11136740262314901,-0.01799450220762163,0.8946100064792339,0.9821664320905821,0.0,-2.715398936002693,0.006619597706613087,7.239040741996644
group_total_vehicles,-0.0651895738063483,0.9368898367687739,0.024346887234570107,-0.1129085959217637,-0.017470551690932888,0.8932323014599486,0.9826811735378981,0.0,-2.6775321698531434,0.007416672991485305,7.0750121241093495
group_total_receipts,-0.016783157561202838,0.9833568950248689,0.024404537603933626,-0.06461517232426617,0.031048857201860496,0.9374281422664988,1.0315359006131137,0.0,-0.6877064353187194,0.49163766666481445,1.0243326433167337
group_sector_count,-0.06825074214260125,0.9340262444711023,0.023290950351100376,-0.11390016599646852,-0.02260131828873399,0.8923470380129657,0.9776521781295086,0.0,-2.930354541731989,0.0033857546379441237,8.206306858223364
camel_roa,-0.06146322494395544,0.9403875279075866,0.008021401622846105,-0.07718488323026496,-0.04574156665764593,0.925718687922811,0.9552888087724118,0.0,-7.662404631242916,1.8248363335894496e-14,45.63922625144805
camel_npl_ratio,0.10481423787392413,1.1105043015540446,0.017965099356177256,0.069603290157133,0.14002518559071525,1.0720827910859698,1.1503027695471562,0.0,5.834325532849559,5.400858629614284e-09,27.464164068522443
camel_tier1_capital_ratio,0.10096591497518036,1.1062389349392543,0.021138806709032596,0.0595346151493228,0.1423972148010379,1.06134249887277,1.153034559979715,0.0,4.7763299208388,1.7852340974286116e-06,19.095455302321866
rw_out_degree_4q_lag,-0.04137385737764154,0.9594703578152758,0.023764353591981945,-0.08795113453380121,0.005203419778518133,0.9158056268988535,1.0052169810787235,0.0,-1.7410049559101417,0.08168270982039079,3.6138254614190624
state_ownership_pct,-0.039029971507952906,0.9617218844593006,0.022003961386805354,-0.08215694334330143,0.004097000327395607,0.9211273825404904,1.0041054045066256,0.0,-1.7737702235451647,0.07610116533125748,3.7159376439992036
foreign_ownership_total_pct,-0.006647148773714868,0.9933748946506783,0.02226568107439908,-0.050287081770792164,0.03699278422336243,0.950956383067583,1.0376855331041153,0.0,-0.2985378597449557,0.7652926848213374,0.3859164854027694
