variable,Model 1: Controls,Model 4: +State,Model 3: +Foreign,Model 6: Full,Model 5: +Topology,Model 2: +Family
camel_tier1_capital_ratio,1.158*** (0.315),1.150*** (0.315),1.142*** (0.315),1.009** (0.315),1.033** (0.314),1.140*** (0.315)
camel_npl_ratio,0.012*** (0.002),0.012*** (0.002),0.012*** (0.002),0.011*** (0.002),0.012*** (0.002),0.011*** (0.002)
camel_roa,-0.454*** (0.060),-0.455*** (0.060),-0.454*** (0.060),-0.457*** (0.061),-0.461*** (0.061),-0.450*** (0.060)
camel_liquid_assets_ratio,0.325 (0.280),0.321 (0.280),0.312 (0.280),0.242 (0.280),0.252 (0.280),0.320 (0.280)
Observations,151127,151127,151127,151127,151127,151127
Subjects,1101,1101,1101,1101,1101,1101
Events,774,774,774,774,774,774
Log Likelihood,-4681.51,-4679.78,-4676.65,-4617.58,-4631.24,-4668.37
AIC Partial,9371.02,9371.57,9365.31,9261.15,9276.49,9348.75
-log2(p) LLR,69.13,66.80,71.16,137.48,132.38,82.72
C-index,0.644,0.651,0.668,0.780,0.772,0.698
state_SOP,,-0.004 (0.003),,-0.004 (0.003),,
state_SCP,,-0.000 (0.000),,-0.000 (0.000),,
foreign_FOP_t,,,-0.000 (0.000),0.000 (0.000),,
foreign_FEC_d,,,-0.000** (0.000),-0.000* (0.000),,
family_FOP,,,,-0.003* (0.001),,-0.003* (0.001)
family_rho_F,,,,-0.166*** (0.049),,-0.196*** (0.049)
network_page_rank,,,,-0.006** (0.002),-0.006** (0.002),
network_betweenness,,,,-0.000+ (0.000),-0.000+ (0.000),
network_C_b,,,,-0.033*** (0.004),-0.035*** (0.004),
