variable,Model 1: Controls,Model 6: Full,Model 3: +Foreign,Model 5: +Topology,Model 2: +Family,Model 4: +State
const,-5.523*** (0.045),-4.809*** (0.055),-5.377*** (0.051),-4.865*** (0.055),-5.329*** (0.049),-5.499*** (0.049)
camel_tier1_capital_ratio,2.054*** (0.474),1.346* (0.528),1.948*** (0.484),1.382** (0.526),1.930*** (0.473),2.029*** (0.474)
camel_npl_ratio,0.021*** (0.002),0.022*** (0.002),0.021*** (0.002),0.023*** (0.002),0.020*** (0.002),0.022*** (0.002)
camel_roa,-0.594*** (0.116),-0.631*** (0.112),-0.602*** (0.130),-0.630*** (0.112),-0.584*** (0.116),-0.602*** (0.113)
camel_liquid_assets_ratio,-0.197 (0.627),-0.927 (0.697),-0.531 (0.655),-0.855 (0.691),-0.286 (0.634),-0.267 (0.641)
Observations,151428,151428,151428,151428,151428,151428
Subjects,1101,1101,1101,1101,1101,1101
Events,774,774,774,774,774,774
Log Likelihood,-4755.29,-4602.83,-4710.19,-4627.37,-4720.07,-4747.66
AIC,9520.59,9233.67,9434.37,9270.73,9454.13,9509.32
AUC,0.639,0.719,0.690,0.709,0.674,0.655
Optimal Threshold,0.018,0.015,0.022,0.025,0.019,0.018
Accuracy,0.985,0.982,0.988,0.989,0.986,0.985
Precision,0.035,0.032,0.041,0.044,0.036,0.035
Recall,0.070,0.089,0.059,0.058,0.065,0.070
F1 Score,0.047,0.047,0.049,0.050,0.046,0.047
family_FOP,,-0.004 (0.003),,,-0.003 (0.003),
family_rho_F,,-0.403* (0.164),,,-0.951*** (0.226),
foreign_FOP_t,,0.000* (0.000),-0.000 (0.000),,,
foreign_FEC_d,,-0.003* (0.001),-0.007** (0.002),,,
state_SOP,,-0.023 (0.017),,,,-0.027 (0.023)
state_SCP,,0.000* (0.000),,,,-0.000 (0.000)
network_page_rank,,0.002 (0.005),,-0.001 (0.005),,
network_betweenness,,-0.000** (0.000),,-0.000* (0.000),,
network_C_b,,-0.092*** (0.009),,-0.109*** (0.009),,
