variable,Model 5: +State,Model 1: Controls,Model 4: +Foreign,Model 2: +Network (RW),Model 3: +Family,Model 6: Full,Model 1: Controls,Model 6: Full,Model 3: +Foreign,Model 5: +Topology,Model 2: +Family,Model 4: +State,Model 1: Controls,Model 4: +State,Model 3: +Foreign,Model 6: Full,Model 5: +Topology,Model 2: +Family,Model 4: +Foreign,Model 3: +Family,Model 1: Controls,Model 2: +Network (RW),Model 5: +State,Model 6: Full
camel_tier1_capital_ratio,1.724*** (0.466),2.172*** (0.442),1.743*** (0.465),1.930*** (0.458),1.825*** (0.463),1.724*** (0.466),2.054*** (0.474),1.346* (0.528),1.948*** (0.484),1.382** (0.526),1.930*** (0.473),2.029*** (0.474),1.158*** (0.315),1.150*** (0.315),1.142*** (0.315),1.009** (0.315),1.033** (0.314),1.140*** (0.315),1.776** (0.541),1.845*** (0.530),2.236*** (0.495),1.964*** (0.524),1.756** (0.541),1.756** (0.541)
camel_npl_ratio,0.018*** (0.002),0.019*** (0.002),0.018*** (0.002),0.019*** (0.002),0.018*** (0.002),0.018*** (0.002),0.021*** (0.002),0.022*** (0.002),0.021*** (0.002),0.023*** (0.002),0.020*** (0.002),0.022*** (0.002),0.012*** (0.002),0.012*** (0.002),0.012*** (0.002),0.011*** (0.002),0.012*** (0.002),0.011*** (0.002),0.021*** (0.002),0.021*** (0.002),0.021*** (0.002),0.022*** (0.002),0.021*** (0.002),0.021*** (0.002)
camel_roa,-0.512*** (0.056),-0.507*** (0.056),-0.505*** (0.056),-0.516*** (0.056),-0.503*** (0.056),-0.512*** (0.056),-0.594*** (0.116),-0.631*** (0.112),-0.602*** (0.130),-0.630*** (0.112),-0.584*** (0.116),-0.602*** (0.113),-0.454*** (0.060),-0.455*** (0.060),-0.454*** (0.060),-0.457*** (0.061),-0.461*** (0.061),-0.450*** (0.060),-0.600*** (0.111),-0.594*** (0.103),-0.600*** (0.109),-0.605*** (0.102),-0.608*** (0.109),-0.608*** (0.109)
camel_liquid_assets_ratio,0.056 (0.500),0.372 (0.486),0.053 (0.500),0.130 (0.497),0.158 (0.497),0.056 (0.500),-0.197 (0.627),-0.927 (0.697),-0.531 (0.655),-0.855 (0.691),-0.286 (0.634),-0.267 (0.641),0.325 (0.280),0.321 (0.280),0.312 (0.280),0.242 (0.280),0.252 (0.280),0.320 (0.280),-1.377 (0.830),-1.214 (0.819),-0.635 (0.729),-1.120 (0.791),-1.375 (0.831),-1.375 (0.831)
network_in_degree,-0.000 (0.000),,-0.000 (0.000),-0.000 (0.000),-0.000 (0.000),-0.000 (0.000),,,,,,,,,,,,,-0.000 (0.000),-0.000* (0.000),,-0.000 (0.000),-0.000 (0.000),-0.000 (0.000)
network_out_degree,-0.291*** (0.048),,-0.293*** (0.047),-0.294*** (0.046),-0.300*** (0.046),-0.291*** (0.048),,,,,,,,,,,,,-0.267*** (0.055),-0.279*** (0.054),,-0.276*** (0.053),-0.267*** (0.056),-0.267*** (0.056)
network_page_rank,-0.015* (0.006),,-0.014* (0.006),-0.027*** (0.007),-0.020** (0.006),-0.015* (0.006),,0.002 (0.005),,-0.001 (0.005),,,,,,-0.006** (0.002),-0.006** (0.002),,-0.010 (0.006),-0.017* (0.007),,-0.023** (0.007),-0.011 (0.006),-0.011 (0.006)
family_FOP,-0.004 (0.003),,-0.004 (0.003),,-0.004 (0.003),-0.004 (0.003),,-0.004 (0.003),,,-0.003 (0.003),,,,,-0.003* (0.001),,-0.003* (0.001),-0.005 (0.003),-0.005 (0.003),,,-0.005 (0.003),-0.005 (0.003)
family_rho_F,-0.859*** (0.170),,-0.850*** (0.170),,-0.871*** (0.173),-0.859*** (0.170),,-0.403* (0.164),,,-0.951*** (0.226),,,,,-0.166*** (0.049),,-0.196*** (0.049),-0.706*** (0.208),-0.737*** (0.216),,,-0.712*** (0.209),-0.712*** (0.209)
