variable,M2: Community Stratified,M3: FCR Focus (Minimal Controls),M1: Baseline (No Community Control)
rw_page_rank_4q_lag,0.002 (0.005),,0.002 (0.005)
rw_out_degree_4q_lag,-0.024* (0.011),,-0.024* (0.011)
camel_roa,-0.094*** (0.011),-0.098*** (0.011),-0.094*** (0.011)
camel_npl_ratio,0.004* (0.002),0.004* (0.002),0.004* (0.002)
camel_tier1_capital_ratio,0.017*** (0.004),,0.017*** (0.004)
family_connection_ratio,-0.012*** (0.003),-0.014*** (0.003),-0.012*** (0.003)
family_ownership_pct,-0.003+ (0.002),,-0.003+ (0.002)
foreign_ownership_total_pct,0.000 (0.014),0.001 (0.014),0.000 (0.014)
state_ownership_pct,-0.006 (0.004),-0.006 (0.004),-0.006 (0.004)
Observations,44295,44295,44295
Subjects,791,791,791
Events,472,472,472
Log Likelihood,-2895.57,-2908.50,-2902.58
AIC Partial,5809.15,5827.00,5823.16
-log2(p) LLR,51.71,41.78,51.26
C-index,0.648,0.646,0.648
