variable,M1: Temporal FCR (Scaled),M2: + Bank Controls,M4: Full Model + Ownership,M3: + Network Controls,M1: Temporal FCR (Scaled),M1: Baseline (FCR Only),M5: Full + Stratified
rw_page_rank_4q_lag,0.031*** (0.003),,0.031*** (0.003),0.031*** (0.003),0.031*** (0.003),,0.031*** (0.003)
rw_out_degree_4q_lag,-0.066*** (0.016),,-0.066*** (0.016),-0.066*** (0.016),-0.066*** (0.016),,-0.071*** (0.016)
family_connection_ratio_temporal_lag,0.009 (0.014),0.012 (0.013),0.009 (0.014),0.009 (0.014),0.009 (0.014),0.011 (0.013),0.009 (0.014)
camel_roa,-0.077*** (0.011),-0.069*** (0.011),-0.077*** (0.011),-0.073*** (0.011),-0.077*** (0.011),,-0.077*** (0.011)
camel_npl_ratio,0.024*** (0.002),0.024*** (0.002),0.024*** (0.002),0.024*** (0.002),0.024*** (0.002),,0.024*** (0.002)
camel_tier1_capital_ratio,0.041*** (0.003),0.044*** (0.003),0.041*** (0.003),0.041*** (0.003),0.041*** (0.003),,0.041*** (0.003)
family_ownership_pct,-0.003 (0.002),,-0.003 (0.002),,-0.003 (0.002),,-0.003 (0.002)
foreign_ownership_total_pct,0.011 (0.009),,0.011 (0.009),,0.011 (0.009),,0.008 (0.010)
state_ownership_pct,-0.013 (0.009),,-0.013 (0.009),,-0.013 (0.009),,-0.013 (0.009)
Observations,20656,20656,20656,20656,20656,20656,20656
Subjects,2418,2418,2418,2418,2418,2418,2418
Events,1117,1117,1117,1117,1117,1117,1117
Log Likelihood,-8179.87,-8218.70,-8179.87,-8182.73,-8179.87,-8377.09,-8107.96
AIC Partial,16377.74,16445.41,16377.74,16377.46,16377.74,16756.19,16233.92
-log2(p) LLR,261.78,221.62,261.78,266.61,261.78,1.18,263.28
C-index,0.610,0.551,0.610,0.600,,0.500,0.610
