covariate,M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M5: Mechanism Horse Race + EPU Control,M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),M5: Mechanism Horse Race + EPU Control,M1: Political Embeddedness (Regional Strata),M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation)
family_connection_ratio,-0.098**,-0.077***,-0.113***,-0.075***,-0.075***,-0.114***,-0.119***,-0.148***,-0.119***,-0.097**,-0.148***,-0.114***,-0.098**,-0.102***,-0.092***,-0.089***
stake_fragmentation_index,-0.085**,-0.128***,,-0.125***,-0.124***,,-0.113***,,-0.113***,-0.084**,,,-0.085**,-0.086**,,-0.142***
family_company_count,-0.127***,-0.109***,,-0.106***,-0.106***,-0.148***,,,,-0.127***,,-0.148***,-0.127***,-0.133***,-0.127***,
camel_roa,-0.121***,-0.061***,-0.063***,-0.062***,-0.062***,-0.119***,-0.121***,-0.120***,-0.121***,-0.120***,-0.120***,-0.119***,-0.121***,-0.120***,-0.062***,-0.062***
camel_npl_ratio,0.063**,0.106***,0.112***,0.106***,0.105***,0.066**,0.064**,0.069**,0.064**,0.063**,0.069**,0.066**,0.063**,0.063**,0.110***,0.108***
camel_tier1_capital_ratio,0.117***,0.101***,0.103***,0.101***,0.101***,0.120***,0.121***,0.125***,0.121***,0.118***,0.125***,0.120***,0.117***,0.119***,0.101***,0.103***
rw_out_degree_4q_lag,-0.077*,-0.045*,-0.047**,-0.043*,-0.044*,-0.079*,-0.083**,-0.085**,-0.083**,-0.078*,-0.085**,-0.079*,-0.077*,-0.080**,-0.044*,-0.046**
state_ownership_pct,-0.051,,,-0.038*,,,,,,,,,-0.051,,,
foreign_ownership_total_pct,-0.001,,,-0.007,,,,,,,,,-0.001,,,
epu_index,,0.029,,,0.027,,,,,-0.014,,,,-0.012,,
family_connection_ratio:epu_index,,0.002,,,,,,,,,,,,0.030,,
stake_fragmentation_index:epu_index,,0.027,,,,,,,,,,,,0.027,,
family_company_count:epu_index,,0.010,,,,,,,,,,,,0.054,,
