,M6: EPU Interactions (Crisis Adaptation),M5: Mechanism Horse Race + EPU Control,M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M5: Mechanism Horse Race + EPU Control,M4: Full Mechanism Horse Race,M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),M2: Tax Optimization (Stake Fragmentation),M5: Mechanism Horse Race + EPU Control,M1: Political Embeddedness (Regional Strata),M3: Internal Capital (Group Assets),M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation)
family_connection_ratio,-0.077** (0.024),-0.075** (0.024),-0.098**,-0.077***,-0.113***,-0.075***,-0.113*** (0.023),-0.075***,-0.075** (0.024),-0.114***,-0.119***,-0.148***,-0.089*** (0.023),-0.119***,-0.097**,-0.148***,-0.114***,-0.092*** (0.023),-0.098**,-0.102***,-0.092***,-0.089***
epu_index,0.029 (0.024),0.027 (0.024),,0.029,,,,0.027,,,,,,,-0.014,,,,,-0.012,,
stake_fragmentation_index,-0.128*** (0.023),-0.124*** (0.023),-0.085**,-0.128***,,-0.125***,,-0.124***,-0.125*** (0.023),,-0.113***,,-0.142*** (0.022),-0.113***,-0.084**,,,,-0.085**,-0.086**,,-0.142***
family_company_count,-0.109*** (0.024),-0.106*** (0.024),-0.127***,-0.109***,,-0.106***,,-0.106***,-0.106*** (0.024),-0.148***,,,,,-0.127***,,-0.148***,-0.127*** (0.023),-0.127***,-0.133***,-0.127***,
camel_roa,-0.061*** (0.008),-0.062*** (0.008),-0.121***,-0.061***,-0.063***,-0.062***,-0.063*** (0.008),-0.062***,-0.062*** (0.008),-0.119***,-0.121***,-0.120***,-0.062*** (0.008),-0.121***,-0.120***,-0.120***,-0.119***,-0.062*** (0.008),-0.121***,-0.120***,-0.062***,-0.062***
camel_npl_ratio,0.106*** (0.018),0.105*** (0.018),0.063**,0.106***,0.112***,0.106***,0.112*** (0.018),0.105***,0.106*** (0.018),0.066**,0.064**,0.069**,0.108*** (0.018),0.064**,0.063**,0.069**,0.066**,0.110*** (0.018),0.063**,0.063**,0.110***,0.108***
camel_tier1_capital_ratio,0.101*** (0.021),0.101*** (0.021),0.117***,0.101***,0.103***,0.101***,0.103*** (0.021),0.101***,0.101*** (0.021),0.120***,0.121***,0.125***,0.103*** (0.021),0.121***,0.118***,0.125***,0.120***,0.101*** (0.021),0.117***,0.119***,0.101***,0.103***
rw_out_degree_4q_lag,-0.045+ (0.024),-0.044+ (0.024),-0.077*,-0.045*,-0.047**,-0.043*,-0.047* (0.023),-0.044*,-0.043+ (0.024),-0.079*,-0.083**,-0.085**,-0.046* (0.023),-0.083**,-0.078*,-0.085**,-0.079*,-0.044+ (0.024),-0.077*,-0.080**,-0.044*,-0.046**
family_connection_ratio:epu_index,0.002 (0.020),,,0.002,,,,,,,,,,,,,,,,0.030,,
stake_fragmentation_index:epu_index,0.027 (0.021),,,0.027,,,,,,,,,,,,,,,,0.027,,
family_company_count:epu_index,0.010 (0.019),,,0.010,,,,,,,,,,,,,,,,0.054,,
Observations,138896,138896,,,,,138896,,138896,,,,138896,,,,,138896,,,,
Subjects,1092,1092,,,,,1092,,1092,,,,1092,,,,,1092,,,,
Events,770,770,,,,,770,,770,,,,770,,,,,770,,,,
Log Likelihood,-4841.60,-4842.84,,,,,-4874.31,,-4841.86,,,,-4853.71,,,,,-4858.84,,,,
AIC Partial,9705.19,9701.68,,,,,9758.62,,9701.72,,,,9719.42,,,,,9729.68,,,,
-log2(p) LLR,116.83,121.91,,,,,85.08,,120.92,,,,111.59,,,,,104.36,,,,
C-index,0.746,0.733,,,,,0.695,,0.757,,,,0.744,,,,,0.733,,,,
state_ownership_pct,,,-0.051,,,-0.038*,,,-0.038+ (0.022),,,,,,,,,,-0.051,,,
foreign_ownership_total_pct,,,-0.001,,,-0.007,,,-0.007 (0.022),,,,,,,,,,-0.001,,,
