,M2: Simple Lagged Network (t-4Q),7d330234,ed51da28,8e338c55,b4f04079,d0eeaec1,d8167c3f,509da603,d8eb9a06,9668b710,8c228f20,afa1a440,0bc1cd9e,b8126291,e325f6da,3ec3edb4,0e9036a0,62a8c42c,6127fc17,859ec2e6,fd3d2e4f,58d7f342,d6a6eef0,9d33896b,a9458246,f5606bc4,f2b88962,16573b01,9ebe2308,d340bd76,d236b068,7f1da08c,66c25baa,dad181ac,7487246f,493f8a87,5a51f1df,c2b91e3e,ef728c27,27afcd0a,901d777e,ea5bd35b,b750c9f6,b1881eb1,42fa3a2a,e1dd2140,aa69de9a,74319d87,4aa3e0fb,961d2a2a,b285fe60,70d321ab,8f58c61b,a0784592,66ec6e98,99d42954,f5be755c,df1f72b3,5eb1fd0a,9cb4bde4,c06f0561,e305ef99,37ad6039,d821b000,c8644807,83b4f56b,9cc3e015,e6f7673a,0845ec31,bbd28ff0,25273f10,aab61722,ef50a354,bd2d9c9d,e79f870c,57403f97,d0740966,a205a28a,7d4a7224,7728d06c,902c31ba,acbd1322,4765e13a,d31bfc7f,5a0c0f29,M1: Temporal FCR (Scaled),M2: + Bank Controls,M4: Full Model + Ownership,M3: + Network Controls,M1: Temporal FCR (Scaled),M1: Baseline (FCR Only),M5: Full + Stratified,a101fa1a,f3e49b22,152f5e46,M6: EPU Interactions (Crisis Adaptation),M5: Mechanism Horse Race + EPU Control,M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M6: EPU Interactions (Crisis Adaptation),M2: Tax Optimization (Stake Fragmentation),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),H3+ Enhanced (Capital & Diversification),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M5: Mechanism Horse Race + EPU Control,M4: Full Mechanism Horse Race,EPU Interactions (Full),M3: Internal Capital (Group Assets),EPU Interactions (Full),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),Sector Stratification,M10: H3++ Deep Structural Proxies,M2: Tax Optimization (Stake Fragmentation),M5: Mechanism Horse Race + EPU Control,M2: Tax Optimization (Stake Fragmentation),M3: Internal Capital (Group Assets),M1: Political Embeddedness (Regional Strata),M3: Internal Capital (Group Assets),M3: Internal Capital (Group Assets),Sector Stratification,M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M5: Mechanism Horse Race + EPU Control,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M5: Mechanism Horse Race + EPU Control,H3+ Enhanced (Capital & Diversification),M9: Full Mechanism + Community Stratification,M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),H3+ Enhanced (Capital & Diversification),M2: Tax Optimization (Stake Fragmentation),M2: Tax Optimization (Stake Fragmentation)
rw_page_rank_4q_lag,0.003 (0.005),,0.003 (0.005),0.003 (0.005),,,,,,,,,,,,,,,,,,,,,0.004 (0.005),0.004 (0.005),0.004 (0.005),0.004 (0.005),0.004 (0.005),0.004 (0.005),,,,,,,,,,,,,,,,,0.002 (0.005),,0.002 (0.005),,,,,,,0.002 (0.006),0.003 (0.005),0.002 (0.006),0.003 (0.005),0.002 (0.006),0.002 (0.006),0.003 (0.005),0.003 (0.005),0.002 (0.006),0.002 (0.006),0.003 (0.005),0.003 (0.005),0.003 (0.005),0.003 (0.005),0.002 (0.006),0.003 (0.005),0.002 (0.006),0.003 (0.005),0.002 (0.006),0.002 (0.006),0.002 (0.006),0.002 (0.006),0.003 (0.005),0.003 (0.005),,,,,,,0.031*** (0.003),,0.031*** (0.003),0.031*** (0.003),0.031*** (0.003),,0.031*** (0.003),0.039*** (0.003),-17.394*** (0.016),,,,,,,0.032 (0.019),,,,,,,,,,,,0.032 (0.019),,,,,,,,,,0.028 (0.020),,0.028 (0.020),,,,,,,,,,,,,,,,,0.032 (0.019),,,,,0.032 (0.019),,0.032 (0.019),0.022 (0.020),,,,,0.032 (0.019),,
rw_out_degree_4q_lag,-0.022* (0.011),,-0.022* (0.011),-0.022* (0.011),,,,,,,,,,,,,,,,,,,,,-0.021* (0.009),-0.021* (0.009),-0.021* (0.009),-0.021* (0.009),-0.021* (0.009),-0.021* (0.009),,,,,,,,,,,,,,,,,-0.024* (0.011),,-0.024* (0.011),,,,,,,-0.019* (0.009),-0.019* (0.008),-0.019* (0.009),-0.018* (0.008),-0.019* (0.009),-0.019* (0.009),-0.019* (0.008),-0.019* (0.008),-0.019* (0.009),-0.019* (0.009),-0.019* (0.008),-0.018* (0.008),-0.018* (0.008),-0.018* (0.008),-0.019* (0.009),-0.019* (0.008),-0.019* (0.009),-0.019* (0.008),-0.019* (0.009),-0.019* (0.009),-0.019* (0.009),-0.019* (0.009),-0.019* (0.008),-0.019* (0.008),,,,,,,-0.066*** (0.016),,-0.066*** (0.016),-0.066*** (0.016),-0.066*** (0.016),,-0.071*** (0.016),-0.060** (0.023),0.046*** (0.003),,-0.045+ (0.024),-0.044+ (0.024),-0.046* (0.023),-0.047* (0.023),-0.043+ (0.024),-0.046+ (0.024),-0.047* (0.023),-0.046* (0.023),-0.047* (0.023),-0.077*,-0.047* (0.023),-0.045+ (0.024),-0.046* (0.023),-0.044+ (0.024),-0.046* (0.023),-0.045*,-0.044+ (0.024),-0.046+ (0.024),-0.043+ (0.024),-0.047**,-0.043*,-0.047* (0.023),-0.043+ (0.024),-0.043+ (0.024),-0.047* (0.023),-0.044*,-0.043+ (0.024),-0.046+ (0.024),-0.044+ (0.024),-0.046+ (0.024),-0.079*,-0.083**,-0.085**,-0.047* (0.023),-0.046* (0.023),,-0.041+ (0.024),-0.083**,-0.078*,-0.046* (0.023),-0.044+ (0.024),-0.085**,-0.079*,-0.044+ (0.024),,-0.043+ (0.024),-0.046+ (0.024),-0.044+ (0.024),-0.045+ (0.024),-0.044+ (0.024),-0.077*,-0.046+ (0.024),-0.044+ (0.024),-0.046+ (0.024),-0.039 (0.024),-0.044+ (0.024),-0.043+ (0.024),-0.080**,-0.044*,-0.046+ (0.024),-0.046* (0.023),-0.046**
camel_roa,-0.094*** (0.011),-0.056 (0.034),-0.094*** (0.011),-0.094*** (0.011),-0.148*** (0.041),-0.101*** (0.012),-0.101*** (0.012),-0.101*** (0.012),-0.148*** (0.041),-0.115*** (0.012),-0.102*** (0.012),-0.102*** (0.012),-0.102*** (0.012),-0.103*** (0.012),-0.101*** (0.012),-0.102*** (0.012),-0.101*** (0.012),-0.103*** (0.012),-0.115*** (0.012),-0.103*** (0.012),-0.102*** (0.012),-0.101*** (0.012),-0.115*** (0.012),-0.102*** (0.012),-0.086*** (0.011),-0.086*** (0.011),-0.086*** (0.011),-0.086*** (0.011),-0.086*** (0.011),-0.087*** (0.011),-0.067 (nan),-0.067 (nan),-0.067 (nan),-0.056 (0.034),-0.512*** (0.056),-0.507*** (0.056),-0.505*** (0.056),-0.516*** (0.056),-0.503*** (0.056),-0.512*** (0.056),-0.594*** (0.116),-0.631*** (0.112),-0.602*** (0.130),-0.630*** (0.112),-0.584*** (0.116),-0.602*** (0.113),-0.094*** (0.011),-0.098*** (0.011),-0.094*** (0.011),-0.454*** (0.060),-0.455*** (0.060),-0.454*** (0.060),-0.457*** (0.061),-0.461*** (0.061),-0.450*** (0.060),-0.091*** (0.011),-0.086*** (0.011),-0.092*** (0.011),-0.086*** (0.011),-0.092*** (0.011),-0.092*** (0.011),-0.086*** (0.011),-0.086*** (0.011),-0.092*** (0.011),-0.091*** (0.011),-0.086*** (0.011),-0.086*** (0.011),-0.086*** (0.011),-0.086*** (0.011),-0.092*** (0.011),-0.086*** (0.011),-0.092*** (0.011),-0.086*** (0.011),-0.092*** (0.011),-0.092*** (0.011),-0.092*** (0.011),-0.092*** (0.011),-0.086*** (0.011),-0.086*** (0.011),-0.600*** (0.111),-0.594*** (0.103),-0.600*** (0.109),-0.605*** (0.102),-0.608*** (0.109),-0.608*** (0.109),-0.077*** (0.011),-0.069*** (0.011),-0.077*** (0.011),-0.073*** (0.011),-0.077*** (0.011),,-0.077*** (0.011),,,,-0.061*** (0.008),-0.062*** (0.008),-0.062*** (0.008),-0.063*** (0.008),-0.062*** (0.008),-0.062*** (0.008),-0.063*** (0.008),-0.062*** (0.008),-0.063*** (0.008),-0.121***,-0.063*** (0.008),-0.061*** (0.008),-0.062*** (0.008),-0.062*** (0.008),-0.062*** (0.008),-0.061***,-0.062*** (0.008),-0.062*** (0.008),-0.062*** (0.008),-0.063***,-0.062***,-0.063*** (0.008),-0.062*** (0.008),-0.062*** (0.008),-0.063*** (0.008),-0.062***,-0.062*** (0.008),-0.062*** (0.008),-0.062*** (0.008),-0.062*** (0.008),-0.119***,-0.121***,-0.120***,-0.063*** (0.008),-0.062*** (0.008),-0.063*** (0.009),-0.061*** (0.008),-0.121***,-0.120***,-0.062*** (0.008),-0.062*** (0.008),-0.120***,-0.119***,-0.062*** (0.008),-0.063*** (0.009),-0.062*** (0.008),-0.062*** (0.008),-0.062*** (0.008),-0.061*** (0.008),-0.062*** (0.008),-0.121***,-0.062*** (0.008),-0.062*** (0.008),-0.062*** (0.008),-0.058*** (0.010),-0.062*** (0.008),-0.062*** (0.008),-0.120***,-0.062***,-0.062*** (0.008),-0.062*** (0.008),-0.062***
camel_npl_ratio,0.004* (0.002),0.001 (0.004),0.004* (0.002),0.004* (0.002),0.007+ (0.004),0.009*** (0.002),0.009*** (0.002),0.009*** (0.002),0.007+ (0.004),,0.009*** (0.002),0.009*** (0.002),0.009*** (0.002),0.009*** (0.002),0.009*** (0.002),0.009*** (0.002),0.009*** (0.002),0.009*** (0.002),,0.009*** (0.002),0.009*** (0.002),0.009*** (0.002),,0.009*** (0.002),0.010*** (0.002),0.010*** (0.002),0.010*** (0.002),0.010*** (0.002),0.010*** (0.002),0.010*** (0.002),0.013 (nan),0.013 (nan),0.013 (nan),0.001 (0.004),0.018*** (0.002),0.019*** (0.002),0.018*** (0.002),0.019*** (0.002),0.018*** (0.002),0.018*** (0.002),0.021*** (0.002),0.022*** (0.002),0.021*** (0.002),0.023*** (0.002),0.020*** (0.002),0.022*** (0.002),0.004* (0.002),0.004* (0.002),0.004* (0.002),0.012*** (0.002),0.012*** (0.002),0.012*** (0.002),0.011*** (0.002),0.012*** (0.002),0.011*** (0.002),0.006*** (0.002),0.010*** (0.002),0.006*** (0.002),0.010*** (0.002),0.006*** (0.002),0.006*** (0.002),0.010*** (0.002),0.010*** (0.002),0.006*** (0.002),0.006*** (0.002),0.010*** (0.002),0.010*** (0.002),0.010*** (0.002),0.010*** (0.002),0.006*** (0.002),0.010*** (0.002),0.006*** (0.002),0.010*** (0.002),0.006*** (0.002),0.006*** (0.002),0.006*** (0.002),0.006*** (0.002),0.010*** (0.002),0.010*** (0.002),0.021*** (0.002),0.021*** (0.002),0.021*** (0.002),0.022*** (0.002),0.021*** (0.002),0.021*** (0.002),0.024*** (0.002),0.024*** (0.002),0.024*** (0.002),0.024*** (0.002),0.024*** (0.002),,0.024*** (0.002),,,,0.106*** (0.018),0.105*** (0.018),0.108*** (0.018),0.112*** (0.018),0.106*** (0.018),0.106*** (0.018),0.112*** (0.018),0.108*** (0.018),0.112*** (0.018),0.063**,0.112*** (0.018),0.106*** (0.018),0.108*** (0.018),0.110*** (0.018),0.108*** (0.018),0.106***,0.110*** (0.018),0.106*** (0.018),0.106*** (0.018),0.112***,0.106***,0.112*** (0.018),0.106*** (0.018),0.106*** (0.018),0.112*** (0.018),0.105***,0.106*** (0.018),0.106*** (0.018),0.110*** (0.018),0.106*** (0.018),0.066**,0.064**,0.069**,0.112*** (0.018),0.108*** (0.018),,0.105*** (0.018),0.064**,0.063**,0.108*** (0.018),0.110*** (0.018),0.069**,0.066**,0.110*** (0.018),,0.106*** (0.018),0.106*** (0.018),0.105*** (0.018),0.106*** (0.018),0.110*** (0.018),0.063**,0.106*** (0.018),0.105*** (0.018),0.106*** (0.018),0.105*** (0.018),0.110*** (0.018),0.106*** (0.018),0.063**,0.110***,0.106*** (0.018),0.108*** (0.018),0.108***
camel_tier1_capital_ratio,0.015*** (0.004),0.018* (0.009),0.015*** (0.004),0.015*** (0.004),0.036** (0.012),0.019*** (0.005),0.018*** (0.005),0.019*** (0.005),0.036** (0.012),,0.020*** (0.005),0.020*** (0.005),0.020*** (0.005),0.016** (0.005),0.019*** (0.005),0.020*** (0.005),0.019*** (0.005),0.016** (0.005),,0.016** (0.005),0.020*** (0.005),0.019*** (0.005),,0.020*** (0.005),0.016*** (0.003),0.016*** (0.003),0.016*** (0.003),0.016*** (0.003),0.016*** (0.003),0.016*** (0.003),0.027 (nan),0.027 (nan),0.027 (nan),0.018* (0.009),1.724*** (0.466),2.172*** (0.442),1.743*** (0.465),1.930*** (0.458),1.825*** (0.463),1.724*** (0.466),2.054*** (0.474),1.346* (0.528),1.948*** (0.484),1.382** (0.526),1.930*** (0.473),2.029*** (0.474),0.017*** (0.004),,0.017*** (0.004),1.158*** (0.315),1.150*** (0.315),1.142*** (0.315),1.009** (0.315),1.033** (0.314),1.140*** (0.315),0.015*** (0.004),0.016*** (0.003),0.015*** (0.004),0.016*** (0.003),0.015*** (0.004),0.015*** (0.004),0.016*** (0.003),0.016*** (0.003),0.015*** (0.004),0.015*** (0.004),0.016*** (0.003),0.016*** (0.003),0.016*** (0.003),0.016*** (0.003),0.015*** (0.004),0.016*** (0.003),0.015*** (0.004),0.016*** (0.003),0.015*** (0.004),0.015*** (0.004),0.015*** (0.004),0.015*** (0.004),0.016*** (0.003),0.016*** (0.003),1.776** (0.541),1.845*** (0.530),2.236*** (0.495),1.964*** (0.524),1.756** (0.541),1.756** (0.541),0.041*** (0.003),0.044*** (0.003),0.041*** (0.003),0.041*** (0.003),0.041*** (0.003),,0.041*** (0.003),,,,0.101*** (0.021),0.101*** (0.021),0.103*** (0.021),0.103*** (0.021),0.101*** (0.021),0.101*** (0.021),0.103*** (0.021),0.103*** (0.021),0.103*** (0.021),0.117***,0.103*** (0.021),0.101*** (0.021),0.103*** (0.021),0.101*** (0.021),0.103*** (0.021),0.101***,0.101*** (0.021),0.101*** (0.021),0.101*** (0.021),0.103***,0.101***,0.103*** (0.021),0.101*** (0.021),0.101*** (0.021),0.103*** (0.021),0.101***,0.101*** (0.021),0.100*** (0.021),0.101*** (0.021),0.100*** (0.021),0.120***,0.121***,0.125***,0.103*** (0.021),0.103*** (0.021),,0.101*** (0.021),0.121***,0.118***,0.103*** (0.021),0.101*** (0.021),0.125***,0.120***,0.101*** (0.021),,0.101*** (0.021),0.101*** (0.021),0.101*** (0.021),0.101*** (0.021),0.101*** (0.021),0.117***,0.101*** (0.021),0.101*** (0.021),0.101*** (0.021),0.097*** (0.021),0.101*** (0.021),0.101*** (0.021),0.119***,0.101***,0.101*** (0.021),0.103*** (0.021),0.103***
family_rho_F,-0.012*** (0.003),-0.022* (0.011),-0.012*** (0.003),-0.012*** (0.003),-0.008 (0.011),-0.031*** (0.008),-0.031*** (0.008),-0.031*** (0.008),-0.008 (0.011),-0.038*** (0.007),-0.036*** (0.007),-0.034*** (0.007),-0.034*** (0.007),-0.031*** (0.008),-0.031*** (0.008),-0.036*** (0.007),-0.031*** (0.008),-0.031*** (0.008),-0.038*** (0.007),-0.031*** (0.008),-0.034*** (0.007),-0.031*** (0.008),-0.038*** (0.007),-0.036*** (0.007),,,,,,,0.013 (nan),0.013 (nan),0.013 (nan),-0.022* (0.011),-0.859*** (0.170),,-0.850*** (0.170),,-0.871*** (0.173),-0.859*** (0.170),,-0.403* (0.164),,,-0.951*** (0.226),,,,,,,,-0.166*** (0.049),,-0.196*** (0.049),,,,,,,,,,,,,,,,,,,,,,,,,-0.706*** (0.208),-0.737*** (0.216),,,-0.712*** (0.209),-0.712*** (0.209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreign_FEC_d,-0.005*** (0.001),-0.090** (0.033),-0.005*** (0.001),-0.005*** (0.001),-0.025 (0.021),-0.113*** (0.030),-0.114*** (0.030),-0.113*** (0.030),-0.025 (0.021),,,,,-0.113*** (0.031),-0.113*** (0.030),,-0.113*** (0.030),-0.113*** (0.031),,-0.113*** (0.031),,-0.113*** (0.030),,,,,,,,,-0.013 (nan),-0.013 (nan),-0.013 (nan),-0.090** (0.033),-0.005*** (0.001),,-0.005*** (0.001),,,-0.005*** (0.001),,-0.003* (0.001),-0.007** (0.002),,,,,,,,,-0.000** (0.000),-0.000* (0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004** (0.002),,,,-0.004* (0.002),-0.004* (0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observations,44295,798,44295,44295,44715,44715,44295,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,138313,138313,138313,138313,138313,138313,798,798,798,798,151127,151127,151127,151127,151127,151127,151428,151428,151428,151428,151428,151428,44295,44295,44295,151127,151127,151127,151127,151127,151127,88587,142222,88587,142222,88587,88587,142222,142222,88587,88587,142222,142222,142222,142222,88587,142222,88587,142222,88587,88587,88587,88587,142222,142222,192775,192775,192775,192775,192775,192775,20656,20656,20656,20656,20656,20656,20656,6418,117633,117633,138896,138896,138896,138896,138896,138896,138896,138896,138896,,138896,138896,138896,138896,138896,,138896,138896,138896,,,138896,138896,138896,138896,,138896,138896,138896,138896,,,,138896,138896,138896,138896,,,138896,138896,,,138896,138896,138896,138896,138896,138896,138896,,138896,138896,138896,138896,138896,138896,,,138896,138896,
Subjects,791,798,791,791,796,796,791,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,1092,1092,1092,1092,1092,1092,798,798,798,798,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,791,791,791,1101,1101,1101,1101,1101,1101,930,1092,930,1092,930,930,1092,1092,930,930,1092,1092,1092,1092,930,1092,930,1092,930,930,930,930,1092,1092,1101,1101,1101,1101,1101,1101,2418,2418,2418,2418,2418,2418,2418,1856,35731,35731,1092,1092,1092,1092,1092,1092,1092,1092,1092,,1092,1092,1092,1092,1092,,1092,1092,1092,,,1092,1092,1092,1092,,1092,1092,1092,1092,,,,1092,1092,1092,1092,,,1092,1092,,,1092,1092,1092,1092,1092,1092,1092,,1092,1092,1092,1092,1092,1092,,,1092,1092,
Events,472,473,472,472,473,473,472,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,770,770,770,770,770,770,473,473,473,473,774,774,774,774,774,774,774,774,774,774,774,774,472,472,472,774,774,774,774,774,774,608,770,608,770,608,608,770,770,608,608,770,770,770,770,608,770,608,770,608,608,608,608,770,770,774,774,774,774,774,774,1117,1117,1117,1117,1117,1117,1117,497,2289,2289,770,770,770,770,770,770,770,770,770,,770,770,770,770,770,,770,770,770,,,770,770,770,770,,770,770,770,770,,,,770,770,770,770,,,770,770,,,770,770,770,770,770,770,770,,770,770,770,770,770,770,,,770,770,
