variable,Model 1: Controls,Model 4: +State,Model 3: +Foreign,Model 6: Full,Model 5: +Topology,Model 2: +Family
camel_tier1_capital_ratio,3.182*** (1.003),3.159*** (0.996),3.134*** (0.988),2.744** (0.863),2.809** (0.882),3.127*** (0.987)
camel_npl_ratio,1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.011*** (0.002)
camel_roa,0.635*** (0.038),0.635*** (0.038),0.635*** (0.038),0.633*** (0.039),0.631*** (0.039),0.638*** (0.038)
camel_liquid_assets_ratio,1.384 (0.388),1.379 (0.387),1.366 (0.383),1.274 (0.356),1.286 (0.360),1.377 (0.386)
Observations,151127,151127,151127,151127,151127,151127
Subjects,1101,1101,1101,1101,1101,1101
Events,774,774,774,774,774,774
Log Likelihood,-4681.51,-4679.78,-4676.65,-4617.58,-4631.24,-4668.37
AIC Partial,9371.02,9371.57,9365.31,9261.15,9276.49,9348.75
-log2(p) LLR,69.13,66.80,71.16,137.48,132.38,82.72
C-index,0.644,0.651,0.668,0.780,0.772,0.698
state_SOP,,0.996 (0.003),,0.996 (0.003),,
state_SCP,,1.000 (0.000),,1.000 (0.000),,
foreign_FOP_t,,,1.000 (0.000),1.000 (0.000),,
foreign_FEC_d,,,1.000** (0.000),1.000* (0.000),,
family_FOP,,,,0.997* (0.001),,0.997* (0.001)
family_rho_F,,,,0.847*** (0.042),,0.822*** (0.040)
network_page_rank,,,,0.994** (0.002),0.994** (0.002),
network_betweenness,,,,1.000+ (0.000),1.000+ (0.000),
network_C_b,,,,0.968*** (0.004),0.966*** (0.004),
