variable,Model 1: Controls,Model 6: Full,Model 3: +Foreign,Model 5: +Topology,Model 2: +Family,Model 4: +State
const,0.004*** (0.000),0.008*** (0.000),0.005*** (0.000),0.008*** (0.000),0.005*** (0.000),0.004*** (0.000)
camel_tier1_capital_ratio,7.803*** (3.699),3.841* (2.028),7.018*** (3.393),3.984** (2.095),6.889*** (3.261),7.607*** (3.606)
camel_npl_ratio,1.021*** (0.002),1.022*** (0.002),1.022*** (0.002),1.023*** (0.002),1.020*** (0.002),1.022*** (0.002)
camel_roa,0.552*** (0.064),0.532*** (0.060),0.548*** (0.071),0.533*** (0.060),0.558*** (0.065),0.547*** (0.062)
camel_liquid_assets_ratio,0.821 (0.515),0.396 (0.276),0.588 (0.385),0.425 (0.294),0.751 (0.476),0.765 (0.490)
Observations,151428,151428,151428,151428,151428,151428
Subjects,1101,1101,1101,1101,1101,1101
Events,774,774,774,774,774,774
Log Likelihood,-4755.29,-4602.83,-4710.19,-4627.37,-4720.07,-4747.66
AIC,9520.59,9233.67,9434.37,9270.73,9454.13,9509.32
AUC,0.639,0.719,0.690,0.709,0.674,0.655
Optimal Threshold,0.018,0.015,0.022,0.025,0.019,0.018
Accuracy,0.985,0.982,0.988,0.989,0.986,0.985
Precision,0.035,0.032,0.041,0.044,0.036,0.035
Recall,0.070,0.089,0.059,0.058,0.065,0.070
F1 Score,0.047,0.047,0.049,0.050,0.046,0.047
family_FOP,,0.996 (0.003),,,0.997 (0.003),
family_rho_F,,0.668* (0.110),,,0.386*** (0.087),
foreign_FOP_t,,1.000* (0.000),1.000 (0.000),,,
foreign_FEC_d,,0.997* (0.001),0.993** (0.002),,,
state_SOP,,0.977 (0.017),,,,0.974 (0.022)
state_SCP,,1.000* (0.000),,,,1.000 (0.000)
network_page_rank,,1.002 (0.005),,0.999 (0.005),,
network_betweenness,,1.000** (0.000),,1.000* (0.000),,
network_C_b,,0.912*** (0.008),,0.897*** (0.008),,
