variable,Model 5: +State,Model 1: Controls,Model 4: +Foreign,Model 2: +Network (RW),Model 3: +Family,Model 6: Full,Model 1: Controls,Model 6: Full,Model 3: +Foreign,Model 5: +Topology,Model 2: +Family,Model 4: +State,Model 1: Controls,Model 4: +State,Model 3: +Foreign,Model 6: Full,Model 5: +Topology,Model 2: +Family,Model 4: +Foreign,Model 3: +Family,Model 1: Controls,Model 2: +Network (RW),Model 5: +State,Model 6: Full
camel_tier1_capital_ratio,5.606*** (2.610),8.780*** (3.884),5.713*** (2.658),6.888*** (3.153),6.201*** (2.871),5.606*** (2.610),7.803*** (3.699),3.841* (2.028),7.018*** (3.393),3.984** (2.095),6.889*** (3.261),7.607*** (3.606),3.182*** (1.003),3.159*** (0.996),3.134*** (0.988),2.744** (0.863),2.809** (0.882),3.127*** (0.987),5.905** (3.192),6.331*** (3.354),9.358*** (4.632),7.125*** (3.730),5.789** (3.133),5.789** (3.133)
camel_npl_ratio,1.018*** (0.002),1.019*** (0.002),1.018*** (0.002),1.019*** (0.002),1.018*** (0.002),1.018*** (0.002),1.021*** (0.002),1.022*** (0.002),1.022*** (0.002),1.023*** (0.002),1.020*** (0.002),1.022*** (0.002),1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.011*** (0.002),1.021*** (0.002),1.021*** (0.002),1.021*** (0.002),1.022*** (0.002),1.021*** (0.002),1.021*** (0.002)
camel_roa,0.600*** (0.034),0.603*** (0.033),0.604*** (0.034),0.597*** (0.033),0.605*** (0.034),0.600*** (0.034),0.552*** (0.064),0.532*** (0.060),0.548*** (0.071),0.533*** (0.060),0.558*** (0.065),0.547*** (0.062),0.635*** (0.038),0.635*** (0.038),0.635*** (0.038),0.633*** (0.039),0.631*** (0.039),0.638*** (0.038),0.549*** (0.061),0.552*** (0.057),0.549*** (0.060),0.546*** (0.056),0.545*** (0.059),0.545*** (0.059)
camel_liquid_assets_ratio,1.058 (0.529),1.450 (0.704),1.055 (0.528),1.138 (0.566),1.172 (0.582),1.058 (0.529),0.821 (0.515),0.396 (0.276),0.588 (0.385),0.425 (0.294),0.751 (0.476),0.765 (0.490),1.384 (0.388),1.379 (0.387),1.366 (0.383),1.274 (0.356),1.286 (0.360),1.377 (0.386),0.252 (0.209),0.297 (0.243),0.530 (0.386),0.326 (0.258),0.253 (0.210),0.253 (0.210)
network_in_degree,1.000 (0.000),,1.000 (0.000),1.000 (0.000),1.000 (0.000),1.000 (0.000),,,,,,,,,,,,,1.000 (0.000),1.000* (0.000),,1.000 (0.000),1.000 (0.000),1.000 (0.000)
network_out_degree,0.747*** (0.036),,0.746*** (0.035),0.746*** (0.034),0.741*** (0.034),0.747*** (0.036),,,,,,,,,,,,,0.766*** (0.042),0.757*** (0.041),,0.759*** (0.040),0.766*** (0.043),0.766*** (0.043)
network_page_rank,0.986* (0.006),,0.986* (0.006),0.973*** (0.006),0.980** (0.006),0.986* (0.006),,1.002 (0.005),,0.999 (0.005),,,,,,0.994** (0.002),0.994** (0.002),,0.990 (0.006),0.983* (0.007),,0.977** (0.007),0.989 (0.006),0.989 (0.006)
family_FOP,0.996 (0.003),,0.996 (0.003),,0.996 (0.003),0.996 (0.003),,0.996 (0.003),,,0.997 (0.003),,,,,0.997* (0.001),,0.997* (0.001),0.995 (0.003),0.995 (0.003),,,0.995 (0.003),0.995 (0.003)
family_rho_F,0.424*** (0.072),,0.427*** (0.073),,0.418*** (0.072),0.424*** (0.072),,0.668* (0.110),,,0.386*** (0.087),,,,,0.847*** (0.042),,0.822*** (0.040),0.494*** (0.103),0.478*** (0.103),,,0.491*** (0.102),0.491*** (0.102)
