variable,M4: State × Crisis,M5: Foreign × Crisis,M5: Foreign × Crisis,M1: Baseline (2010-2021),M2: Crisis Indicators,M4: State × Crisis,M3: Family × Crisis,M2: Crisis Indicators,M3: Family × Crisis,M6: Full Interactions,M1: Baseline (2010-2021)
family_connection_ratio,0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.990*** (0.003),0.989*** (0.003),0.990*** (0.003),0.990*** (0.003),0.989*** (0.003)
family_ownership_pct,0.996* (0.002),0.996* (0.002),0.996* (0.002),0.996* (0.002),0.996* (0.002),0.996* (0.002),0.997* (0.002),0.996* (0.002),0.997* (0.002),0.997* (0.002),0.996* (0.002)
state_ownership_pct,0.996 (0.003),0.995 (0.003),0.995 (0.003),0.995 (0.003),0.995 (0.003),0.996 (0.003),0.995 (0.003),0.995 (0.003),0.995 (0.003),0.996 (0.003),0.995 (0.003)
foreign_ownership_total_pct,1.000 (0.009),0.996 (0.009),0.996 (0.009),1.000 (0.009),1.000 (0.009),1.000 (0.009),1.000 (0.009),1.000 (0.009),1.000 (0.009),0.996 (0.009),1.000 (0.009)
rw_page_rank_4q_lag,1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006)
rw_out_degree_4q_lag,0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009)
camel_roa,0.913*** (0.010),0.913*** (0.010),0.913*** (0.010),0.913*** (0.010),0.913*** (0.010),0.913*** (0.010),0.912*** (0.010),0.913*** (0.010),0.912*** (0.010),0.912*** (0.010),0.913*** (0.010)
camel_npl_ratio,1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002)
camel_tier1_capital_ratio,1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004)
crisis_2014,1.000 (0.001),1.000 (0.001),1.000 (0.001),,1.000 (0.001),1.000 (0.001),1.000 (0.001),1.000 (0.001),1.000 (0.001),1.000 (0.001),
state_ownership_pct_x_crisis_2014,0.994 (0.009),,,,,0.994 (0.009),,,,0.994 (0.009),
Observations,88587,88587,88587,88587,88587,88587,88587,88587,88587,88587,88587
Subjects,930,930,930,930,930,930,930,930,930,930,930
Events,608,608,608,608,608,608,608,608,608,608,608
Log Likelihood,-3812.83,-3812.29,-3812.29,-3813.08,-3813.06,-3812.83,-3811.89,-3813.06,-3811.89,-3810.90,-3813.08
AIC Partial,7647.67,7646.59,7646.59,7644.15,7646.12,7647.67,7645.77,7646.12,7645.77,7647.80,7644.15
-log2(p) LLR,51.16,51.87,51.87,54.32,52.56,51.16,52.40,52.56,52.40,50.46,54.32
C-index,0.691,0.691,0.691,0.695,0.691,0.691,0.687,0.691,0.687,0.687,0.695
foreign_ownership_total_pct_x_crisis_2014,,1.020 (0.015),1.020 (0.015),,,,,,,1.020 (0.015),
family_connection_ratio_x_crisis_2014,,,,,,,0.991 (0.006),,0.991 (0.006),0.991 (0.006),
