variable,M4: State × Crisis,M5: Foreign × Crisis,M5: Foreign × Crisis,M4: State × Crisis,M5: Foreign × Crisis,M1: Baseline (2010-2021),M2: Crisis Indicators,M4: State × Crisis,M1: Baseline (2010-2021),M3: Family × Crisis,M3: Family × Crisis,M6: Full Interactions,M2: Crisis Indicators,M3: Family × Crisis,M6: Full Interactions,M1: Baseline (2010-2021),M2: Crisis Indicators
family_connection_ratio,0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.990*** (0.003),0.989*** (0.003),0.989*** (0.003),0.990*** (0.003),0.990*** (0.003),0.989*** (0.003),0.989*** (0.003)
family_ownership_pct,0.996* (0.002),0.997** (0.001),0.996* (0.002),0.997** (0.001),0.996* (0.002),0.996* (0.002),0.996* (0.002),0.996* (0.002),0.997** (0.001),0.997** (0.001),0.997* (0.002),0.997** (0.001),0.996* (0.002),0.997* (0.002),0.997* (0.002),0.996* (0.002),0.997** (0.001)
state_ownership_pct,0.996 (0.003),0.996 (0.003),0.995 (0.003),0.996 (0.003),0.995 (0.003),0.995 (0.003),0.995 (0.003),0.996 (0.003),0.996 (0.003),0.996 (0.003),0.995 (0.003),0.996 (0.003),0.995 (0.003),0.995 (0.003),0.996 (0.003),0.995 (0.003),0.996 (0.003)
foreign_ownership_total_pct,1.000 (0.009),0.996 (0.007),0.996 (0.009),0.998 (0.007),0.996 (0.009),1.000 (0.009),1.000 (0.009),1.000 (0.009),0.998 (0.007),0.998 (0.007),1.000 (0.009),0.996 (0.007),1.000 (0.009),1.000 (0.009),0.996 (0.009),1.000 (0.009),0.998 (0.007)
rw_page_rank_4q_lag,1.002 (0.006),1.003 (0.005),1.002 (0.006),1.003 (0.005),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.003 (0.005),1.003 (0.005),1.002 (0.006),1.003 (0.005),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.003 (0.005)
rw_out_degree_4q_lag,0.981* (0.009),0.982* (0.008),0.981* (0.009),0.982* (0.008),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.982* (0.008),0.982* (0.008),0.981* (0.009),0.982* (0.008),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.982* (0.008)
camel_roa,0.913*** (0.010),0.918*** (0.010),0.913*** (0.010),0.918*** (0.010),0.913*** (0.010),0.913*** (0.010),0.913*** (0.010),0.913*** (0.010),0.918*** (0.010),0.918*** (0.010),0.912*** (0.010),0.918*** (0.010),0.913*** (0.010),0.912*** (0.010),0.912*** (0.010),0.913*** (0.010),0.918*** (0.010)
camel_npl_ratio,1.006*** (0.002),1.010*** (0.002),1.006*** (0.002),1.010*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.010*** (0.002),1.010*** (0.002),1.006*** (0.002),1.010*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.010*** (0.002)
camel_tier1_capital_ratio,1.015*** (0.004),1.016*** (0.003),1.015*** (0.004),1.016*** (0.003),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.016*** (0.003),1.016*** (0.003),1.015*** (0.004),1.016*** (0.003),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.016*** (0.003)
crisis_2014,1.000 (0.001),1.001 (0.001),1.000 (0.001),1.001 (0.001),1.000 (0.001),,1.000 (0.001),1.000 (0.001),,1.001 (0.001),1.000 (0.001),1.001 (0.001),1.000 (0.001),1.000 (0.001),1.000 (0.001),,1.001 (0.001)
state_ownership_pct_x_crisis_2014,0.994 (0.009),,,0.994 (0.009),,,,0.994 (0.009),,,,0.994 (0.009),,,0.994 (0.009),,
Observations,88587,142222,88587,142222,88587,88587,88587,88587,142222,142222,88587,142222,88587,88587,88587,88587,142222
Subjects,930,1092,930,1092,930,930,930,930,1092,1092,930,1092,930,930,930,930,1092
Events,608,770,608,770,608,608,608,608,770,770,608,770,608,608,608,608,770
Log Likelihood,-3812.83,-4838.03,-3812.29,-4838.68,-3812.29,-3813.08,-3813.06,-3812.83,-4840.18,-4837.96,-3811.89,-4836.76,-3813.06,-3811.89,-3810.90,-3813.08,-4838.95
AIC Partial,7647.67,9702.05,7646.59,9703.35,7646.59,7644.15,7646.12,7647.67,9698.36,9701.92,7645.77,9707.53,7646.12,7645.77,7647.80,7644.15,9699.90
-log2(p) LLR,51.16,75.47,51.87,74.61,51.87,54.32,52.56,51.16,80.20,75.56,52.40,70.40,52.56,52.40,50.46,54.32,77.92
C-index,0.691,0.697,0.691,0.697,0.691,0.695,0.691,0.691,0.694,0.699,0.687,0.699,0.691,0.687,0.687,0.695,0.697
crisis_2008,,1.001 (0.001),,1.001 (0.001),,,,,,1.001 (0.001),,1.001 (0.001),,,,,1.001 (0.001)
foreign_ownership_total_pct_x_crisis_2008,,0.995 (0.023),,,,,,,,,,0.995 (0.023),,,,,
foreign_ownership_total_pct_x_crisis_2014,,1.021 (0.014),1.020 (0.015),,1.020 (0.015),,,,,,,1.021 (0.014),,,1.020 (0.015),,
state_ownership_pct_x_crisis_2008,,,,0.997 (0.012),,,,,,,,0.997 (0.012),,,,,
family_connection_ratio_x_crisis_2008,,,,,,,,,,0.997 (0.008),,0.997 (0.008),,,,,
family_connection_ratio_x_crisis_2014,,,,,,,,,,0.992 (0.006),0.991 (0.006),0.992 (0.006),,0.991 (0.006),0.991 (0.006),,
