variable,M4: State × Crisis,M5: Foreign × Crisis,M5: Foreign × Crisis,M4: State × Crisis,M5: Foreign × Crisis,M1: Baseline (2010-2021),M5: Foreign × Crisis,M1: Baseline (2010-2021),M2: Crisis Indicators,M4: State × Crisis,M1: Baseline (2010-2021),M3: Family × Crisis,M3: Family × Crisis,M4: State × Crisis,M3: Family × Crisis,M6: Full Interactions,M2: Crisis Indicators,M2: Crisis Indicators,M3: Family × Crisis,M6: Full Interactions,M1: Baseline (2010-2021),M2: Crisis Indicators,M6: Full Interactions
family_connection_ratio,0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.990*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003),0.990*** (0.003),0.990*** (0.003),0.989*** (0.003),0.989*** (0.003),0.989*** (0.003)
family_ownership_pct,0.996* (0.002),0.997** (0.001),0.996* (0.002),0.997** (0.001),0.996* (0.002),0.996* (0.002),0.997** (0.001),0.997** (0.001),0.996* (0.002),0.996* (0.002),0.997** (0.001),0.997** (0.001),0.997** (0.001),0.997** (0.001),0.997* (0.002),0.997** (0.001),0.997** (0.001),0.996* (0.002),0.997* (0.002),0.997* (0.002),0.996* (0.002),0.997** (0.001),0.997** (0.001)
state_ownership_pct,0.996 (0.003),0.996 (0.003),0.995 (0.003),0.996 (0.003),0.995 (0.003),0.995 (0.003),0.996 (0.003),0.996 (0.003),0.995 (0.003),0.996 (0.003),0.996 (0.003),0.996 (0.003),0.996 (0.003),0.996 (0.003),0.995 (0.003),0.996 (0.003),0.996 (0.003),0.995 (0.003),0.995 (0.003),0.996 (0.003),0.995 (0.003),0.996 (0.003),0.996 (0.003)
foreign_ownership_total_pct,1.000 (0.009),0.996 (0.007),0.996 (0.009),0.998 (0.007),0.996 (0.009),1.000 (0.009),0.996 (0.007),0.998 (0.007),1.000 (0.009),1.000 (0.009),0.998 (0.007),0.998 (0.007),0.998 (0.007),0.998 (0.007),1.000 (0.009),0.996 (0.007),0.998 (0.007),1.000 (0.009),1.000 (0.009),0.996 (0.009),1.000 (0.009),0.998 (0.007),0.996 (0.007)
rw_page_rank_4q_lag,1.002 (0.006),1.003 (0.005),1.002 (0.006),1.003 (0.005),1.002 (0.006),1.002 (0.006),1.003 (0.005),1.003 (0.005),1.002 (0.006),1.002 (0.006),1.003 (0.005),1.003 (0.005),1.003 (0.005),1.003 (0.005),1.002 (0.006),1.003 (0.005),1.003 (0.005),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.003 (0.005),1.003 (0.005)
rw_out_degree_4q_lag,0.981* (0.009),0.982* (0.008),0.981* (0.009),0.982* (0.008),0.981* (0.009),0.981* (0.009),0.982* (0.008),0.982* (0.008),0.981* (0.009),0.981* (0.009),0.982* (0.008),0.982* (0.008),0.982* (0.008),0.982* (0.008),0.981* (0.009),0.982* (0.008),0.982* (0.008),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.982* (0.008),0.982* (0.008)
camel_roa,0.913*** (0.010),0.918*** (0.010),0.913*** (0.010),0.918*** (0.010),0.913*** (0.010),0.913*** (0.010),0.918*** (0.010),0.918*** (0.010),0.913*** (0.010),0.913*** (0.010),0.918*** (0.010),0.918*** (0.010),0.918*** (0.010),0.918*** (0.010),0.912*** (0.010),0.918*** (0.010),0.918*** (0.010),0.913*** (0.010),0.912*** (0.010),0.912*** (0.010),0.913*** (0.010),0.918*** (0.010),0.918*** (0.010)
camel_npl_ratio,1.006*** (0.002),1.010*** (0.002),1.006*** (0.002),1.010*** (0.002),1.006*** (0.002),1.006*** (0.002),1.010*** (0.002),1.010*** (0.002),1.006*** (0.002),1.006*** (0.002),1.010*** (0.002),1.010*** (0.002),1.010*** (0.002),1.010*** (0.002),1.006*** (0.002),1.010*** (0.002),1.010*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.010*** (0.002),1.010*** (0.002)
camel_tier1_capital_ratio,1.015*** (0.004),1.016*** (0.003),1.015*** (0.004),1.016*** (0.003),1.015*** (0.004),1.015*** (0.004),1.016*** (0.003),1.016*** (0.003),1.015*** (0.004),1.015*** (0.004),1.016*** (0.003),1.016*** (0.003),1.016*** (0.003),1.016*** (0.003),1.015*** (0.004),1.016*** (0.003),1.016*** (0.003),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.016*** (0.003),1.016*** (0.003)
