covariate,M4: Full Mechanism Horse Race,M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),M5: Mechanism Horse Race + EPU Control,M1: Political Embeddedness (Regional Strata),M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation)
family_connection_ratio,0.907**,0.893***,0.887***,0.862***,0.887***,0.908**,0.862***,0.893***,0.907**,0.903***
stake_fragmentation_index,0.918**,,0.894***,,0.894***,0.919**,,,0.918**,0.918**
family_company_count,0.881***,0.863***,,,,0.881***,,0.863***,0.881***,0.875***
camel_roa,0.886***,0.888***,0.886***,0.887***,0.886***,0.887***,0.887***,0.888***,0.886***,0.887***
camel_npl_ratio,1.065**,1.068**,1.066**,1.072**,1.066**,1.065**,1.072**,1.068**,1.065**,1.065**
camel_tier1_capital_ratio,1.124***,1.128***,1.129***,1.134***,1.129***,1.126***,1.134***,1.128***,1.124***,1.126***
rw_out_degree_4q_lag,0.925*,0.924*,0.921**,0.918**,0.921**,0.925*,0.918**,0.924*,0.925*,0.923**
state_ownership_pct,0.950,,,,,,,,0.950,
foreign_ownership_total_pct,0.999,,,,,,,,0.999,
epu_index,,,,,,0.986,,,,0.988
family_connection_ratio:epu_index,,,,,,,,,,1.030
stake_fragmentation_index:epu_index,,,,,,,,,,1.027
family_company_count:epu_index,,,,,,,,,,1.055
