covariate,M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M5: Mechanism Horse Race + EPU Control,M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),M5: Mechanism Horse Race + EPU Control,M1: Political Embeddedness (Regional Strata),M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation)
family_connection_ratio,0.907**,0.926***,0.893***,0.927***,0.928***,0.893***,0.887***,0.862***,0.887***,0.908**,0.862***,0.893***,0.907**,0.903***,0.912***,0.915***
stake_fragmentation_index,0.918**,0.879***,,0.882***,0.883***,,0.894***,,0.894***,0.919**,,,0.918**,0.918**,,0.868***
family_company_count,0.881***,0.897***,,0.899***,0.900***,0.863***,,,,0.881***,,0.863***,0.881***,0.875***,0.881***,
camel_roa,0.886***,0.941***,0.939***,0.940***,0.940***,0.888***,0.886***,0.887***,0.886***,0.887***,0.887***,0.888***,0.886***,0.887***,0.940***,0.940***
camel_npl_ratio,1.065**,1.112***,1.119***,1.112***,1.111***,1.068**,1.066**,1.072**,1.066**,1.065**,1.072**,1.068**,1.065**,1.065**,1.116***,1.114***
camel_tier1_capital_ratio,1.124***,1.107***,1.108***,1.106***,1.107***,1.128***,1.129***,1.134***,1.129***,1.126***,1.134***,1.128***,1.124***,1.126***,1.106***,1.108***
rw_out_degree_4q_lag,0.925*,0.956*,0.954**,0.958*,0.957*,0.924*,0.921**,0.918**,0.921**,0.925*,0.918**,0.924*,0.925*,0.923**,0.957*,0.955**
state_ownership_pct,0.950,,,0.963*,,,,,,,,,0.950,,,
foreign_ownership_total_pct,0.999,,,0.994,,,,,,,,,0.999,,,
epu_index,,1.029,,,1.027,,,,,0.986,,,,0.988,,
family_connection_ratio:epu_index,,1.002,,,,,,,,,,,,1.030,,
stake_fragmentation_index:epu_index,,1.027,,,,,,,,,,,,1.027,,
family_company_count:epu_index,,1.010,,,,,,,,,,,,1.055,,
