,M6: EPU Interactions (Crisis Adaptation),M5: Mechanism Horse Race + EPU Control,M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M5: Mechanism Horse Race + EPU Control,M4: Full Mechanism Horse Race,M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),M2: Tax Optimization (Stake Fragmentation),M5: Mechanism Horse Race + EPU Control,M1: Political Embeddedness (Regional Strata),M3: Internal Capital (Group Assets),M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation)
family_connection_ratio,0.926** (0.022),0.928** (0.022),0.907**,0.926***,0.893***,0.927***,0.893*** (0.020),0.928***,0.927** (0.022),0.893***,0.887***,0.862***,0.915*** (0.021),0.887***,0.908**,0.862***,0.893***,0.912*** (0.021),0.907**,0.903***,0.912***,0.915***
epu_index,1.029 (0.025),1.027 (0.025),,1.029,,,,1.027,,,,,,,0.986,,,,,0.988,,
stake_fragmentation_index,0.879*** (0.020),0.883*** (0.020),0.918**,0.879***,,0.882***,,0.883***,0.882*** (0.020),,0.894***,,0.868*** (0.019),0.894***,0.919**,,,,0.918**,0.918**,,0.868***
family_company_count,0.897*** (0.021),0.900*** (0.021),0.881***,0.897***,,0.899***,,0.900***,0.899*** (0.021),0.863***,,,,,0.881***,,0.863***,0.881*** (0.020),0.881***,0.875***,0.881***,
camel_roa,0.941*** (0.008),0.940*** (0.008),0.886***,0.941***,0.939***,0.940***,0.939*** (0.008),0.940***,0.940*** (0.008),0.888***,0.886***,0.887***,0.940*** (0.008),0.886***,0.887***,0.887***,0.888***,0.940*** (0.008),0.886***,0.887***,0.940***,0.940***
camel_npl_ratio,1.112*** (0.020),1.111*** (0.020),1.065**,1.112***,1.119***,1.112***,1.119*** (0.020),1.111***,1.112*** (0.020),1.068**,1.066**,1.072**,1.114*** (0.020),1.066**,1.065**,1.072**,1.068**,1.116*** (0.020),1.065**,1.065**,1.116***,1.114***
camel_tier1_capital_ratio,1.107*** (0.023),1.107*** (0.023),1.124***,1.107***,1.108***,1.106***,1.108*** (0.023),1.107***,1.106*** (0.023),1.128***,1.129***,1.134***,1.108*** (0.023),1.129***,1.126***,1.134***,1.128***,1.106*** (0.023),1.124***,1.126***,1.106***,1.108***
rw_out_degree_4q_lag,0.956+ (0.023),0.957+ (0.023),0.925*,0.956*,0.954**,0.958*,0.954* (0.022),0.957*,0.958+ (0.023),0.924*,0.921**,0.918**,0.955* (0.022),0.921**,0.925*,0.918**,0.924*,0.957+ (0.023),0.925*,0.923**,0.957*,0.955**
family_connection_ratio:epu_index,1.002 (0.020),,,1.002,,,,,,,,,,,,,,,,1.030,,
stake_fragmentation_index:epu_index,1.027 (0.021),,,1.027,,,,,,,,,,,,,,,,1.027,,
family_company_count:epu_index,1.010 (0.020),,,1.010,,,,,,,,,,,,,,,,1.055,,
Observations,138896,138896,,,,,138896,,138896,,,,138896,,,,,138896,,,,
Subjects,1092,1092,,,,,1092,,1092,,,,1092,,,,,1092,,,,
Events,770,770,,,,,770,,770,,,,770,,,,,770,,,,
Log Likelihood,-4841.60,-4842.84,,,,,-4874.31,,-4841.86,,,,-4853.71,,,,,-4858.84,,,,
AIC Partial,9705.19,9701.68,,,,,9758.62,,9701.72,,,,9719.42,,,,,9729.68,,,,
-log2(p) LLR,116.83,121.91,,,,,85.08,,120.92,,,,111.59,,,,,104.36,,,,
C-index,0.746,0.733,,,,,0.695,,0.757,,,,0.744,,,,,0.733,,,,
state_ownership_pct,,,0.950,,,0.963*,,,0.963+ (0.021),,,,,,,,,,0.950,,,
foreign_ownership_total_pct,,,0.999,,,0.994,,,0.994 (0.022),,,,,,,,,,0.999,,,
